question,labels,has_context
nhiễm HPV liên quan đến chủ đề gì,topic,0
Nhiễm HPV liên quan đến vấn đề gì?,topic,0
Nhiễm HPV có liên quan đến chủ đề nào trong y khoa không?,topic,0
"Trong Nội tiết tố, mãn kinh có nguyên nhân và dấu hiệu gì",symptom|cause,1
Mãn kinh có những dấu hiệu và nguyên nhân gì?,symptom|cause,1
Mãn kinh do nguyên nhân nào và biểu hiện ra sao?,symptom|cause,1
Ứng dụng của viêm buồng trứng trong Siêu âm thường ,application,1
Viêm buồng trứng có tác dụng gì trong siêu âm thường?,application,1
Siêu âm thường có thể phát hiện viêm buồng trứng không?,application,1
Ứng dụng của nhiễm nấm âm đạo trong Tiền sản giật,application,1
Nguyên nhân và triệu chứng của sẩy thai khi Ba tháng cuối,symptom|cause,1
Triệu chứng và cách điều trị viêm niệu đạo trong Mang thai,symptom|treatment,1
Viêm niệu đạo trong thai kỳ có nguy hiểm không?,symptom|treatment,1
Điều trị viêm niệu đạo khi mang thai như thế nào?,symptom|treatment,1
Vì sao mắc tiền mãn kinh và có triệu chứng gì,symptom|cause,0
Tiền mãn kinh có những triệu chứng gì?,symptom|cause,0
Tại sao tôi lại có triệu chứng tiền mãn kinh?,symptom|cause,0
Yếu tố làm tăng khả năng mắc viêm âm đạo,riskfactor,0
Những yếu tố nào làm tăng nguy cơ mắc viêm âm đạo?,riskfactor,0
Điều gì khiến một người dễ bị viêm âm đạo hơn?,riskfactor,0
"Trong Đi bộ, ung thư buồng trứng có nguyên nhân và dấu hiệu gì",symptom|cause,1
Nguyên nhân và dấu hiệu của ung thư buồng trứng trong quá trình đi bộ,symptom|cause,1
"Khi đi bộ, ung thư buồng trứng có những yếu tố gây bệnh và dấu hiệu đặc trưng gì?",symptom|cause,1
Triệu chứng của thai lưu trong Vaccine HPV,symptom,1
Triệu chứng thai lưu có liên quan gì đến tiêm vaccine HPV?,symptom,1
Tiêm vaccine HPV có thể gây ra thai lưu không?,symptom,1
Điều trị thai lưu trong Xét nghiệm nước tiểu,treatment,1
Những phương pháp điều trị thai lưu mà bác sĩ thường áp dụng dựa trên kết quả xét nghiệm nước tiểu là gì?,treatment,1
Kết quả xét nghiệm nước tiểu có thể giúp xác định cách điều trị thai lưu như thế nào?,treatment,1
viêm vùng chậu khi Mang thai: dấu hiệu và cách chữa,symptom|treatment,1
"Viêm vùng chậu khi mang thai có nguy hiểm không, và cách chữa ra sao?",symptom|treatment,1
Dấu hiệu của viêm vùng chậu khi mang thai là gì và cách điều trị?,symptom|treatment,1
"viêm cổ tử cung trong Xét nghiệm máu: nguyên nhân, triệu chứng và điều trị",symptom|treatment|cause,1
Viêm cổ tử cung có thể phát hiện qua xét nghiệm máu không?,symptom|treatment|cause,1
Nguyên nhân và cách điều trị viêm cổ tử cung khi xét nghiệm máu là gì?,symptom|treatment|cause,1
Tình huống nào dễ dẫn tới tiểu không kiểm soát,riskfactor,0
Tình huống nào dễ khiến mình bị tiểu không kiểm soát?,riskfactor,0
Khi nào dễ bị tiểu không kiểm soát?,riskfactor,0
Triệu chứng và cách điều trị tiểu không kiểm soát trong Phẫu thuật,symptom|treatment,1
Vai trò của lạc nội mạc tử cung trong y học,application,0
Khi nào thì biết mình đang mắc rong kinh,symptom,0
Làm thế nào để nhận biết自己正在经历经期延长？,symptom,0
如何确定自己是否患有经期过长？,symptom,0
Làm sao tránh viêm cổ tử cung khi Huyết áp cao,prevention,1
mãn kinh thường gặp ở nam hay nữ,population,0
Mãn kinh ở nam hay nữ phổ biến hơn?,population,0
"Ai dễ bị mãn kinh hơn, nam hay nữ?",population,0
Xử lý lạc nội mạc tử cung khi Yoga,treatment,1
Phương pháp xử lý lạc nội mạc tử cung khi luyện yoga?,treatment,1
"Khi tập yoga, cần làm gì để điều trị lạc nội mạc tử cung?",treatment,1
Định nghĩa u nang buồng trứng và đối tượng dễ mắc trong Tiểu đường thai kỳ,definition|population,1
U nang buồng trứng là gì và ai dễ bị khi mang thai?,definition|population,1
Bà bầu bị tiểu đường có nguy cơ u nang buồng trứng không?,definition|population,1
sẩy thai trong Siêu âm nâng cao thường gặp ở ai,population,1
Những ai thường gặp phải sẩy thai do siêu âm nâng cao?,population,1
Ai dễ bị sẩy thai vì siêu âm nâng cao?,population,1
Yếu tố nguy cơ tiền mãn kinh trong Xét nghiệm nước tiểu,riskfactor,1
Định nghĩa ung thư cổ tử cung trong Siêu âm thường ,definition,1
Siêu âm thường giúp phát hiện ung thư cổ tử cung ra sao?,definition,1
Có thể phát hiện ung thư cổ tử cung bằng siêu âm thường không?,definition,1
Yếu tố nguy cơ rong kinh trong Xét nghiệm Pap smear,riskfactor,1
Rong kinh có thể xảy ra do những yếu tố nguy cơ nào khi thực hiện xét nghiệm Pap smear?,riskfactor,1
Những yếu tố nguy cơ nào có thể dẫn đến tình trạng rong kinh khi làm xét nghiệm Pap smear?,riskfactor,1
Nguyên nhân và triệu chứng của nhiễm HPV khi Ba tháng đầu,symptom|cause,1
khí hư có mùi hôi liên quan tới bệnh nào,disease,0
Xử lý viêm âm đạo khi Huyết áp cao,treatment,1
Làm gì khi bị viêm âm đạo mà huyết áp lại cao?,treatment,1
Cách xử lý viêm âm đạo khi bị cao huyết áp?,treatment,1
hội chứng buồng trứng đa nang là gì khi Phẫu thuật,definition,1
Phẫu thuật có ảnh hưởng gì đến hội chứng buồng trứng đa nang?,definition,1
Hội chứng buồng trứng đa nang có thể điều trị bằng phẫu thuật không?,definition,1
Yếu tố nguy cơ mãn kinh trong Siêu âm,riskfactor,1
Mãn kinh có thể phát hiện qua siêu âm không?,riskfactor,1
Siêu âm có giúp nhận biết mãn kinh không?,riskfactor,1
Dấu hiệu viêm đường tiết niệu khi Siêu âm nâng cao,symptom,1
Siêu âm nâng cao có thể phát hiện dấu hiệu viêm đường tiết niệu không?,symptom,1
Siêu âm nâng cao giúp phát hiện những dấu hiệu viêm đường tiết niệu nào?,symptom,1
Biến chứng và cách điều trị viêm âm đạo khi Sinh non,treatment|complication,1
đau bụng kinh là gì khi Dinh dưỡng,definition,1
Đau bụng kinh có liên quan gì đến dinh dưỡng?,definition,1
Dinh dưỡng có ảnh hưởng gì đến đau bụng kinh?,definition,1
Triệu chứng và cách điều trị lạc nội mạc tử cung trong Đi bộ,symptom|treatment,1
Biến chứng và cách điều trị thai lưu khi Nội tiết tố,treatment|complication,1
Chế độ dinh dưỡng nào giúp tránh lây nhiễm HPV?,treatment|complication,1
Thai lưu có những biến chứng gì và cách chữa ra sao?,treatment|complication,1
tiểu không kiểm soát được dùng thế nào khi Tiểu đường thai kỳ,application,1
"Khi mắc tiểu đường thai kỳ, cách sử dụng thuốc tiểu không kiểm soát như thế nào?",application,1
Người mắc tiểu đường thai kỳ cần sử dụng thuốc tiểu không kiểm soát ra sao?,application,1
Nguyên nhân và triệu chứng của viêm âm đạo khi Ba tháng cuối,symptom|cause,1
Phòng ngừa thống kinh trong Khám phụ khoa,prevention,1
Cách nào để phòng ngừa thống kinh khi đi khám phụ khoa?,prevention,1
"Khi khám phụ khoa, có cách nào giảm đau bụng kinh không?",prevention,1
Phân loại vô kinh khi Siêu âm,subdisease,1
Điều trị sinh non trong Siêu âm thường ,treatment,1
Nguyên nhân gây nhiễm HPV trong thai kỳ là gì?,treatment,1
Cách điều trị sinh non trong quá trình siêu âm như thế nào?,treatment,1
Yếu tố nguy cơ nhiễm nấm âm đạo trong Vaccine HPV,riskfactor,1
Phòng ngừa viêm đường tiết niệu trong Khám sức khỏe định kỳ,prevention,1
Các thể của u xơ tử cung,subdisease,0
U xơ tử cung có những dạng nào?,subdisease,0
Nói chung về các loại u xơ tử cung?,subdisease,0
Nguy cơ mắc viêm vùng chậu khi Cho con bú,riskfactor,1
Cho con bú có tăng nguy cơ mắc viêm vùng chậu không?,riskfactor,1
Nguy cơ mắc viêm vùng chậu khi cho con bú như thế nào?,riskfactor,1
"vô kinh trong Siêu âm thường : nguyên nhân, triệu chứng và điều trị",symptom|treatment|cause,1
Những điều cần biết về sinh non,detail,0
"Khi gặp tình trạng tiền sản giật, cách sử dụng đau bụng kinh ra sao?",detail,0
Cần nắm rõ những thông tin gì về hiện tượng sinh non?,detail,0
Điều cần biết về u nang buồng trứng khi Tiền sản giật,detail,1
Cần lưu ý gì về u nang buồng trứng khi bị tiền sản giật?,detail,1
U nang buồng trứng có ảnh hưởng gì khi bị tiền sản giật?,detail,1
Yếu tố nguy cơ vô kinh trong Siêu âm nâng cao,riskfactor,1
Những yếu tố nguy cơ gây vô kinh khi làm Siêu âm nâng cao là gì?,riskfactor,1
Siêu âm nâng cao có phát hiện được nguyên nhân gây vô kinh không?,riskfactor,1
Xử lý u xơ tử cung khi Siêu âm,treatment,1
Cách xử lý u xơ tử cung khi được phát hiện qua siêu âm,treatment,1
Phương pháp điều trị u xơ tử cung khi được chẩn đoán bằng siêu âm,treatment,1
Lời khuyên khi bị đau bụng kinh trong Thiếu máu,advice,1
Tư vấn cho người bị đau bụng kinh khi đang thiếu máu,advice,1
Hướng dẫn khắc phục đau bụng kinh trong bối cảnh thiếu máu,advice,1
Nguyên nhân phổ biến nhất của thai lưu,cause,0
Nguyên nhân nào thường gặp nhất gây thai chết lưu?,cause,0
Thai chết lưu thường do yếu tố gì?,cause,0
Rủi ro của sinh non khi Siêu âm,complication,1
Siêu âm thấy có rủi ro gì khi sinh non?,complication,1
Nếu siêu âm thấy nguy cơ sinh non thì cần làm gì?,complication,1
Rủi ro của mãn kinh khi Siêu âm nâng cao,complication,1
Mãn kinh có ảnh hưởng gì đến kết quả siêu âm nâng cao?,complication,1
Nếu đã mãn kinh thì siêu âm nâng cao có bị ảnh hưởng không?,complication,1
Định nghĩa vô kinh trong Sinh non,definition,1
Vô kinh có liên quan gì đến sinh non không?,definition,1
Sinh non có phải do bị vô kinh không?,definition,1
Làm sao tránh đau bụng kinh khi Tiền sản giật,prevention,1
Nguyên nhân đau bụng kinh trong Mang thai,cause,1
"Mình mang thai nhưng vẫn bị đau bụng kinh, tại sao vậy?",cause,1
Đau bụng kinh khi mang thai do nguyên nhân gì?,cause,1
Lời khuyên khi bị nhiễm nấm âm đạo trong Tiền sản giật,advice,1
Đối tượng nào dễ bị viêm âm đạo khi mắc tiểu đường thai kỳ?,advice,1
Có những lời khuyên gì cho người bị nhiễm nấm âm đạo trong tiền sản giật?,advice,1
u xơ tử cung được dùng thế nào khi Xét nghiệm Pap smear,application,1
Điều trị nhiễm HPV trong Đi bộ,treatment,1
Nhiễm HPV điều trị thế nào khi đi bộ?,treatment,1
Cách điều trị nhiễm HPV khi đi bộ?,treatment,1
"viêm đường tiết niệu trong Khám sức khỏe định kỳ: nguyên nhân, triệu chứng và điều trị",symptom|treatment|cause,1
Lời khuyên và phương pháp điều trị nhiễm nấm âm đạo trong Khám sức khỏe định kỳ,advice|treatment,1
"Khám sức khỏe định kỳ, có cách nào điều trị nhiễm nấm âm đạo không?",advice|treatment,1
"Tư vấn giúp với, bị nhiễm nấm âm đạo, nên làm gì khi đi khám sức khỏe định kỳ?",advice|treatment,1
Lời khuyên và phương pháp điều trị tiểu không kiểm soát trong Siêu âm thường ,advice|treatment,1
Siêu âm thường giúp điều trị tiểu không tự chủ thế nào?,advice|treatment,1
Có phương pháp nào để kiểm soát tiểu tốt hơn khi làm siêu âm không?,advice|treatment,1
Xử lý rong kinh khi Xét nghiệm nước tiểu,treatment,1
Rong kinh khi xét nghiệm nước tiểu nên làm gì?,treatment,1
Cách xử lý rong kinh khi đi xét nghiệm nước tiểu?,treatment,1
Nguyên nhân ung thư cổ tử cung trong Xét nghiệm Pap smear,cause,1
Xét nghiệm Pap smear có thể phát hiện nguyên nhân nào gây ung thư cổ tử cung?,cause,1
Những nguyên nhân gây ung thư cổ tử cung có thể được xác định qua xét nghiệm Pap smear là gì?,cause,1
Định nghĩa viêm cổ tử cung trong Yoga,definition,1
Lời khuyên và phương pháp điều trị lạc nội mạc tử cung trong Huyết áp cao,advice|treatment,1
Lời khuyên khi bị mãn kinh trong Khám phụ khoa,advice,1
Bị mãn kinh khi đi khám phụ khoa thì nên làm gì?,advice,1
Có lời khuyên gì khi bị mãn kinh trong quá trình khám phụ khoa?,advice,1
viêm đường tiết niệu được dùng thế nào khi Ba tháng đầu,application,1
Các phương pháp chữa u xơ tử cung,treatment,0
viêm đường tiết niệu trong Ba tháng đầu,topic,1
Viêm đường tiết niệu thường gặp trong ba tháng đầu thai kỳ?,topic,1
"Trong ba tháng đầu, dấu hiệu viêm đường tiết niệu là gì?",topic,1
Điều trị viêm âm đạo trong Ba tháng đầu,treatment,1
"Ba tháng đầu thai kỳ, điều trị viêm âm đạo thế nào?",treatment,1
Viêm âm đạo trong ba tháng đầu có cách điều trị ra sao?,treatment,1
thai ngoài tử cung: biến chứng và hướng điều trị,treatment|complication,0
Triệu chứng của nhiễm HPV trong Nội tiết tố,symptom,1
Nhiễm HPV có triệu chứng gì khi kiểm tra nội tiết tố?,symptom,1
Triệu chứng của nhiễm HPV khi xét nghiệm nội tiết tố là gì?,symptom,1
Biến chứng và cách điều trị hội chứng buồng trứng đa nang khi Dậy thì,treatment|complication,1
Phòng ngừa thai ngoài tử cung trong Đi bộ,prevention,1
viêm niệu đạo là gì khi Ba tháng đầu,definition,1
Viêm niệu đạo có thể xảy ra trong ba tháng đầu thai kỳ không?,definition,1
"Ba tháng đầu mang thai, cần lưu ý gì về viêm niệu đạo?",definition,1
Thông tin chi tiết viêm cổ tử cung trong Xét nghiệm nước tiểu,detail,1
Xét nghiệm nước tiểu có thể phát hiện viêm cổ tử cung không?,detail,1
Viêm cổ tử cung có thể được phát hiện qua xét nghiệm nước tiểu?,detail,1
Điều cần biết về vô kinh khi Xét nghiệm nước tiểu,detail,1
"ung thư cổ tử cung trong Nghén: nguyên nhân, triệu chứng và điều trị",symptom|treatment|cause,1
Thông tin chi tiết mãn kinh trong Phẫu thuật,detail,1
Mãn kinh trong phẫu thuật có thông tin gì cần biết?,detail,1
"Trong phẫu thuật, mãn kinh có đặc điểm gì?",detail,1
Kể tên các dạng đau bụng kinh,subdisease,0
Các loại đau bụng kinh thường gặp là gì?,subdisease,0
Đau bụng kinh có những dạng nào?,subdisease,0
Tác dụng thực tiễn của viêm vùng chậu,application,0
Phòng ngừa viêm niệu đạo trong Nghén,prevention,1
Phân loại nhiễm HPV khi Vaccine HPV,subdisease,1
Nguy cơ mắc viêm niệu đạo khi Tiểu đường thai kỳ,riskfactor,1
Những người bị tiểu đường thai kỳ có nguy cơ mắc viêm niệu đạo như thế nào?,riskfactor,1
Viêm niệu đạo thường gặp ở ai khi mắc tiểu đường thai kỳ?,riskfactor,1
Lời khuyên khi bị tiểu không kiểm soát trong Siêu âm thường ,advice,1
"Bị tiểu không kiểm soát khi siêu âm, cần lưu ý gì?",advice,1
Có lời khuyên gì cho trường hợp bị tiểu không kiểm soát khi siêu âm?,advice,1
Nguyên nhân và triệu chứng của u nang buồng trứng khi Thai kỳ,symptom|cause,1
U nang buồng trứng có biểu hiện như thế nào khi mang thai?,symptom|cause,1
Mang thai có ảnh hưởng gì đến việc phát triển u nang buồng trứng?,symptom|cause,1
Biến chứng và cách điều trị ung thư buồng trứng khi Xét nghiệm nước tiểu,treatment|complication,1
Lời khuyên và phương pháp điều trị hội chứng buồng trứng đa nang trong Nội tiết tố,advice|treatment,1
Những lời khuyên và phương pháp điều trị hội chứng buồng trứng đa nang dựa trên nội tiết tố là gì?,advice|treatment,1
"Trong vấn đề nội tiết tố, hội chứng buồng trứng đa nang nên được điều trị như thế nào và cần lưu ý những gì?",advice|treatment,1
Nên làm gì với thai lưu khi Huyết áp cao,advice,1
Biến chứng và cách điều trị vô kinh khi Phẫu thuật,treatment|complication,1
Phẫu thuật có thể gây ra những biến chứng gì cho người bị vô kinh?,treatment|complication,1
Cách điều trị vô kinh sau phẫu thuật thế nào?,treatment|complication,1
Thông tin chi tiết mãn kinh trong Yoga,detail,1
Phân loại ung thư buồng trứng khi Ba tháng cuối,subdisease,1
Ung thư buồng trứng được phân loại như thế nào trong ba tháng cuối thai kỳ?,subdisease,1
"Khi mang thai ở ba tháng cuối, ung thư buồng trứng được chia thành những loại nào?",subdisease,1
đau rát âm hộ có thể do bệnh gì gây ra,disease,0
Biến chứng loạn khuẩn âm đạo trong Tiền sản giật,complication,1
Loạn khuẩn âm đạo có thể gây biến chứng gì khi tiền sản giật?,complication,1
Biến chứng của loạn khuẩn âm đạo khi tiền sản giật?,complication,1
Phân loại mãn kinh khi Huyết áp cao,subdisease,1
Biến chứng và cách điều trị viêm cổ tử cung khi Khám sức khỏe định kỳ,treatment|complication,1
Viêm cổ tử cung có thể gây biến chứng gì khi đi khám sức khỏe?,treatment|complication,1
"Khi khám sức khỏe định kỳ, nếu bị viêm cổ tử cung thì phải làm sao?",treatment|complication,1
Điều cần biết về sinh non khi Yoga,detail,1
Sinh non khi tập Yoga có nguy hiểm không?,detail,1
Cần lưu ý gì khi tập Yoga để tránh sinh non?,detail,1
Các thể viêm vùng chậu trong Khám sức khỏe định kỳ,subdisease,1
Khám sức khỏe định kỳ có phát hiện các thể viêm vùng chậu không?,subdisease,1
Có những thể viêm vùng chậu nào được phát hiện khi khám sức khỏe?,subdisease,1
Cách xử lý an toàn khi gặp đa nang buồng trứng,advice,0
Nguyên nhân u xơ tử cung trong Huyết áp cao,cause,1
U xơ tử cung thường xuất phát từ nguyên nhân gì khi người bệnh có huyết áp cao?,cause,1
Nguyên nhân gây u xơ tử cung trong trường hợp huyết áp cao là gì?,cause,1
Nguyên nhân mãn kinh trong Đi bộ,cause,1
Mãn kinh có liên quan gì khi đi bộ?,cause,1
Đi bộ có ảnh hưởng gì đến mãn kinh?,cause,1
khí hư có mùi hôi là biểu hiện của bệnh gì,disease,0
Định nghĩa viêm âm đạo trong Ba tháng cuối,definition,1
Viêm âm đạo là gì và có nguy hiểm không trong ba tháng cuối thai kỳ?,definition,1
"Ba tháng cuối thai kỳ, bị viêm âm đạo có sao không?",definition,1
Có bệnh nền nào khiến đa kinh nặng hơn không,riskfactor,0
Ai hay mắc thống kinh khi Xét nghiệm máu,population,1
Làm sao tránh viêm nội mạc tử cung khi Sinh non,prevention,1
u nang buồng trứng là gì khi Siêu âm,definition,1
Triệu chứng của đa kinh trong Đi bộ,symptom,1
Dưới đây là danh sách câu hỏi đã được viết lại:,symptom,1
"Đi bộ mà thấy nhiều kinh nguyệt quá, có phải là đa kinh không?",symptom,1
Vai trò của viêm niệu đạo trong y học,application,0
Nguyên nhân và triệu chứng của sinh non khi Ba tháng đầu,symptom|cause,1
Nguyên nhân và triệu chứng của hội chứng buồng trứng đa nang khi Mang thai,symptom|cause,1
Các thể thống kinh trong Ba tháng cuối,subdisease,1
"Ba tháng cuối thai kỳ, các thể thống kinh bao gồm những gì?",subdisease,1
"Giai đoạn ba tháng cuối, có những thể thống kinh nào?",subdisease,1
"vô kinh trong Đi bộ: nguyên nhân, triệu chứng và điều trị",symptom|treatment|cause,1
Đi bộ có ảnh hưởng gì đến tình trạng vô kinh không? Nguyên nhân và cách điều trị là gì?,symptom|treatment|cause,1
Vô kinh có liên quan gì đến việc đi bộ không? Dấu hiệu và cách điều trị?,symptom|treatment|cause,1
Phân loại viêm buồng trứng,subdisease,0
Viêm buồng trứng có những loại nào?,subdisease,0
Viêm buồng trứng được phân loại thế nào?,subdisease,0
"viêm âm đạo trong Sinh non: nguyên nhân, triệu chứng và điều trị",symptom|treatment|cause,1
Viêm âm đạo có thể gây sinh non không?,symptom|treatment|cause,1
"Nguyên nhân, triệu chứng và cách điều trị viêm âm đạo khi sinh non?",symptom|treatment|cause,1
Triệu chứng của nhiễm nấm âm đạo trong Thai kỳ,symptom,1
"Bị nhiễm nấm âm đạo khi mang thai, có biểu hiện gì?",symptom,1
"Thai phụ dễ bị nhiễm nấm âm đạo, triệu chứng ra sao?",symptom,1
Xử lý viêm vùng chậu khi Yoga,treatment,1
Viêm vùng chậu có thể xảy ra khi tập Yoga không?,treatment,1
"Nếu bị viêm vùng chậu, có nên tiếp tục tập Yoga không?",treatment,1
"Trong Dậy thì, ung thư buồng trứng có nguyên nhân và dấu hiệu gì",symptom|cause,1
"Trong Thai kỳ, hội chứng buồng trứng đa nang có nguyên nhân và dấu hiệu gì",symptom|cause,1
Tại sao có viêm cổ tử cung khi Phẫu thuật,cause,1
Vì sao lại bị viêm cổ tử cung sau phẫu thuật?,cause,1
Phẫu thuật có thể gây viêm cổ tử cung không?,cause,1
Các thể viêm cổ tử cung trong Huyết áp cao,subdisease,1
Các thể viêm cổ tử cung trong bệnh cao huyết áp?,subdisease,1
Có những thể viêm cổ tử cung nào khi bị cao huyết áp?,subdisease,1
Yếu tố nguy cơ và cách phòng tránh vô kinh,riskfactor|prevention,0
Nếu mang thai ngoài tử cung thì điều trị như thế nào?,riskfactor|prevention,0
Vô kinh có nguy cơ do những yếu tố nào?,riskfactor|prevention,0
Nên làm gì với viêm đường tiết niệu khi Thai kỳ,advice,1
Thai kỳ bị viêm đường tiết niệu phải làm sao?,advice,1
Cách xử lý viêm đường tiết niệu khi mang bầu?,advice,1
