article_id,chunk_id,root_name,root_type,chunk_text
106,3,Hội chứng buồng trứng đa nang,Disease,"Nguy cơ sức khỏe ở phụ nữ PCOS: tăng nguy cơ tiểu đường type 2, bệnh tim mạch, hội chứng chuyển hóa. Tăng sinh nội mạc tử cung → nguy cơ ung thư nội mạc tử cung."
106,4,Hội chứng buồng trứng đa nang,Disease,"Điều trị PCOS tùy triệu chứng, bệnh lý kèm theo và mong muốn có thai. Thuốc tránh thai phối hợp (estrogen + progestin) giúp điều hòa kinh nguyệt, giảm rậm lông, mụn trứng cá, giảm nguy cơ ung thư nội mạc tử cung. Giảm cân (10–15 pounds) giúp điều hòa kinh nguyệt, cải thiện cholesterol, insulin, giảm rậm lông, mụn. Thuốc tăng nhạy cảm insulin (dùng cho tiểu đường) giúp giảm androgen, cải thiện rụng trứng, kinh nguyệt đều hơn. Để tăng cơ hội mang thai: giảm cân, dùng thuốc kích rụng trứng, có thể phẫu thuật buồng trứng khi cần."
106,5,Hội chứng buồng trứng đa nang,Disease,"Chú giải: Bệnh gai đen, androgen, bệnh tim mạch, tế bào, cholesterol, u nang, đái tháo đường, tăng sinh nội mạc tử cung, nội mạc tử cung, estrogen, glucose, rậm lông, hormone, vô sinh, insulin, hội chứng chuyển hóa, buồng trứng, rụng trứng, progestin."
194,11,Hội chứng buồng trứng đa nang ,disease,"PCOS là tình trạng buồng trứng lớn hơn bình thường, làm thay đổi hormon buồng trứng. PCOS dẫn đến vô sinh do giảm sản sinh trứng, cũng có một số bằng chứng cho rằng PCOS còn làm tăng nguy cơ sẩy thai ở phụ nữ. Tuy nhiên, thực tế vai trò PCOS trong sẩy thai không rõ ràng. Không có điều trị nào được chứng minh là tạo ra sự khác biệt và đa số sản phụ PCOS mang thai thành công mà không tăng nguy cơ sẩy thai."
1,12,U xơ tử cung,disease,"U xơ tử cung là khối u lành tính phổ biến nhất của tử cung và cũng phổ biến nhất ở phụ nữ. Ít nhất, có hai mươi phần trăm phụ nữ ở tuổi ba mươi có u xơ tử cung. May mắn thay, hầu hết trong số họ (50%) vẫn không có triệu chứng. U xơ gặp phổ biến hơn ở những phụ nữ không có con hoặc ở những phụ nữ bị vô sinh sau khi sinh một con. Tỷ lệ mắc bệnh cao nhất là ở độ tuổi 35-45. Các triệu chứng bao gồm ra máu mức độ nhiều trong kỳ kinh nguyệt, ra máu bất thường, đau bụng kinh, vô sinh, đau khi quan hệ tình dục, sẩy thai tái phát dưới dạng sẩy thai hoặc sinh non, đau bụng dưới hoặc vùng chậu và bụng to ra. Điều trị chủ yếu là phẫu thuật. Và quyết định phẫu thuật có thể cân nhắc dựa trên tuổi của bệnh nhân và mức độ nghiêm trọng của tình trạng bệnh."
7,1,U xơ tử cung,Disease,"U xơ tử cung: Những điều nên và không nên làm. Được đánh giá bởi Nivin Todd, MD vào ngày 26 tháng 04 năm 2021. Đôi khi, cách duy nhất để điều trị u xơ tử cung là sử dụng thuốc hoặc phẫu thuật. Tuy nhiên một số người vẫn có thể cải thiện những triệu chứng của họ bằng những cách đơn giản. Những thay đổi bao gồm chế độ ăn uống, tập luyện và thói quen quản lý căng thẳng. Ngay cả khi bạn cần điều trị y tế thì những phương pháp tự nhiên như châm cứu, thay đổi lối sống và bổ sung thêm các chất có thể có lợi cho bạn. Bằng cách thấu hiểu những lựa chọn của mình, bạn có thể giảm hoặc thậm chí loại bỏ hoàn toàn những cơn đau hay triệu chứng do u xơ tử cung gây ra. Dưới đây là vài điều nên và không nên làm giúp tạo sự khác biệt, giúp bạn cảm thấy ổn hơn."
7,2,U xơ tử cung,Disease,"Những điều nên làm. Bổ sung trái cây và rau củ tươi. Một nghiên cứu gần đây cho thấy ăn nhiều trái cây như táo, cà chua có thể làm giảm nguy cơ phát triển bệnh u xơ tử cung. Các loại rau củ thuộc họ cải như bông cải xanh, bắp cải cũng có tác dụng tương tự. Thực phẩm lành mạnh: trái cây, rau củ hữu cơ, ngũ cốc nguyên hạt có thể cải thiện triệu chứng."
7,3,U xơ tử cung,Disease,"Theo dõi huyết áp. Các nhà nghiên cứu đã chỉ ra mối quan hệ giữa u xơ tử cung và bệnh cao huyết áp. Bạn có thể tham khảo bác sĩ cách kiểm soát huyết áp bằng chế độ ăn uống, lối sống, thuốc."
7,4,U xơ tử cung,Disease,"Quản lý mức độ căng thẳng của bạn. Trong khi các nhà nghiên cứu vẫn đang xem xét tác động của sự căng thẳng lên khối u, một số nghiên cứu đã cho thấy cả hai có mối quan hệ với nhau. Hãy thử những kĩ thuật thư giãn như yoga, xoa bóp và thái cực quyền để kiểm soát căng thẳng. Một số phụ nữ nhận thấy liệu pháp thay thế như châm cứu cũng giúp giảm cơn đau trong kỳ kinh nguyệt."
7,5,U xơ tử cung,Disease,"Khiến bản thân thoải mái. Nếu bạn bị đau bụng kinh do u xơ tử cung, hãy thử nằm xuống và kê chân lên gối. Hoặc nằm nghiêng người và co đầu gối lên ngực để giảm áp lực lên lưng."
7,6,U xơ tử cung,Disease,"Hỏi ý kiến bác sĩ trước khi bổ sung bất kỳ chất gì. Một số nghiên cứu đề xuất những chất bổ sung như vitamin D có thể có ích trong việc giảm nguy cơ mắc u xơ tử cung. Một số bác sĩ chuyên khoa Y học thay thế khuyên dùng các chất bổ sung như trà, lá mâm xôi để hỗ trợ mang thai. Điều trị vấn đề như hội chứng tiền kinh nguyệt lại không được khuyến khích cho u xơ tử cung. Đó là bởi vì trà có thể có tác động giống như estrogen đối với cơ thể và làm cho bệnh của bạn trở nên tồi tệ hơn. Đó là lý do tại sao việc thảo luận với bác sĩ về tất cả các loại thuốc và chất bổ sung – ngay cả khi chúng là tự nhiên – luôn quan trọng. Chúng có thể có các tác dụng phụ mà bạn không biết."
7,7,U xơ tử cung,Disease,"Những điều không nên làm. Không ăn thực phẩm chế biến sẵn, thịt đỏ và sữa giàu chất béo. Các nghiên cứu chỉ ra rằng, ăn những thực phẩm trên có thể làm khối u trầm trọng hơn. Tương tự đối với rượu và caffeine."
7,8,U xơ tử cung,Disease,"Đừng bỏ tập luyện thể dục. Một nghiên cứu chỉ ra rằng phụ nữ tập thể dục thường xuyên có nguy cơ bị u xơ tử cung thấp nhất. Nên tập khoảng 7 giờ/tuần các hoạt động như chạy, nhảy hay đi bộ. Tập thể dục cũng giúp giảm huyết áp."
7,9,U xơ tử cung,Disease,Không quá lạm dụng đường. Một nghiên cứu cho thấy chế độ ăn nhiều đường có liên quan đến việc tăng nguy cơ mắc u xơ tử cung.
7,10,U xơ tử cung,Disease,Không hút thuốc. Các chuyên gia tin rằng hút thuốc làm gia tăng những cơn đau trong kỳ kinh nguyệt. Lý do là vì chúng giảm lượng khí oxy đến vùng xương chậu.
8,1,U xơ tử cung,Disease,"U xơ tử cung. Tổng quát. Vị trí u xơ. U xơ tử cung là khối không phải ung thư tử cung, thường xuất hiện trong thời kỳ sinh sản, còn được gọi là leiomyomas (lie-o-my-O-muhs) hoặc u cơ, u xơ tử cung. Nó không liên quan đến việc tăng nguy cơ ung thư tử cung và hầu như không bao giờ phát triển thành ung thư. Các khối u xơ có kích thước nhỏ, không thể phát hiện được bằng mắt thường, cho đến những khối u to có thể làm biến dạng và tăng kích thước tử cung. Bạn có thể có một khối u xơ đơn lẻ hoặc nhiều khối u xơ. Trong trường hợp nghiêm trọng, nhiều u xơ tử cung có thể tăng kích thước tử cung đến mức nó chạm đến khung xương sườn và có thể khiến bạn tăng cân. Do thường không gây ra triệu chứng nên nhiều phụ nữ bị u xơ không được phát hiện. Bác sĩ có thể tình cờ phát hiện ra u xơ khi khám phụ khoa hoặc siêu âm trước khi sinh."
8,2,U xơ tử cung,Disease,"Triệu chứng. Nhiều phụ nữ bị u xơ tử cung không có bất kỳ triệu chứng nào. Trong những trường hợp đó, các triệu chứng có thể bị ảnh hưởng bởi vị trí, kích thước và số lượng của các khối u xơ. Ở phụ nữ có triệu chứng, các dấu hiệu và triệu chứng phổ biến nhất của u xơ tử cung bao gồm: chảy máu kinh nguyệt nhiều, kinh nguyệt kéo dài hơn một tuần, chèn ép hoặc đau vùng chậu, đi tiểu thường xuyên, tiểu khó, táo bón, đau lưng hoặc đau chân. Một khối u xơ hiếm khi gây ra cơn đau cấp, chỉ khi nó phát triển quá mức mà không đủ nguồn cung cấp máu và bắt đầu hoại tử. U xơ thường được phân loại theo vị trí. U xơ trong cơ phát triển trong thành u xơ cơ. U xơ dưới niêm mạc phát triển lồi vào buồng tử cung. U xơ dưới thanh mạc lồi ra bên ngoài tử cung."
8,3,U xơ tử cung,Disease,"Khi nào đến gặp bác sĩ. Hãy đến gặp bác sĩ nếu bạn có triệu chứng: đau vùng chậu dai dẳng, kinh nguyệt quá nhiều, kéo dài hoặc đau bụng kinh, chảy máu ít hoặc giữa các kỳ kinh, tiểu khó, thiếu máu (giảm số lượng hồng cầu không giải thích được). Đến ngay bệnh viện nếu bạn bị ra máu âm đạo nhiều hoặc đau bụng đột ngột."
8,4,U xơ tử cung,Disease,"Nguyên nhân. Không biết nguyên nhân của u xơ tử cung, nhưng nghiên cứu và kinh nghiệm lâm sàng chỉ ra những yếu tố sau: thay đổi di truyền. Nhiều u xơ có chứa những thay đổi trong gen khác với những tế bào cơ tử cung bình thường. Nội tiết tố. Estrogen và progesterone, hai hormone kích thích sự phát triển của niêm mạc tử cung trong mỗi chu kỳ kinh nguyệt để chuẩn bị mang thai, có vai trò thúc đẩy phát triển u xơ tử cung. U xơ chứa nhiều thụ thể estrogen và progesterone hơn các tế bào cơ tử cung bình thường. Các khối u xơ có xu hướng nhỏ lại sau khi mãn kinh do giảm sản xuất hormone. Các yếu tố tăng trưởng khác. Các chất giúp cơ thể duy trì các mô, chẳng hạn như yếu tố tăng trưởng giống insulin (insulin-like), có thể ảnh hưởng đến sự phát triển của khối u xơ. Chất nền ngoại bào (ECM). ECM là vật liệu làm cho các tế bào kết dính với nhau, giống như vữa giữa các viên gạch. ECM tăng lên trong các khối u xơ và làm cho chúng bị xơ. ECM cũng lưu trữ các yếu tố tăng trưởng và gây ra những thay đổi sinh học trong chính tế bào. Các bác sĩ tin rằng u xơ tử cung phát triển từ một tế bào gốc trong mô cơ trơn của tử cung (myometrium). Một tế bào đơn lẻ phân chia nhiều lần, cuối cùng tạo ra một khối cứng chắc khác biệt với các mô lân cận. U xơ tử cung có thể phát triển theo nhiều hướng khác nhau – tăng kích thước nhanh, chậm hay giữ nguyên kích thước. Một số khối u xơ đã qua giai đoạn tăng trưởng có thể sẽ nhỏ lại. Nhiều khối u xơ xuất hiện trong thời kỳ mang thai, sẽ nhỏ lại hoặc biến mất sau khi sinh con, khi tử cung trở lại kích thước bình thường."
8,5,U xơ tử cung,Disease,"Yếu tố nguy cơ. Có rất ít yếu tố nguy cơ được biết đến của u xơ tử cung, ngoài việc phụ nữ trong độ tuổi sinh sản. Các yếu tố có thể có tác động đến sự phát triển của khối u xơ bao gồm: chủng tộc. Mặc dù bất kỳ phụ nữ nào trong độ tuổi sinh sản đều có thể bị u xơ tử cung, nhưng phụ nữ da đen có nhiều khả năng bị u xơ hơn phụ nữ thuộc các nhóm chủng tộc khác. Ngoài ra, phụ nữ da đen có u xơ tử cung ở độ tuổi trẻ hơn và họ cũng có khả năng bị u xơ nhiều hơn hoặc lớn hơn, cùng với các triệu chứng nghiêm trọng hơn. Di truyền. Nếu mẹ hoặc chị gái của bạn bị u xơ tử cung, bạn sẽ có nhiều nguy cơ phát triển chúng hơn. Những yếu tố khác. Bắt đầu hành kinh khi còn nhỏ; béo phì; thiếu vitamin D; có chế độ ăn nhiều thịt đỏ và ít rau xanh, trái cây và sữa; uống rượu, kể cả bia, dường như làm tăng nguy cơ phát triển u xơ tử cung."
8,6,U xơ tử cung,Disease,"Biến chứng. Mặc dù u xơ tử cung thường không nguy hiểm nhưng chúng có thể gây khó chịu và có thể dẫn đến các biến chứng như thiếu máu, gây mệt mỏi. Hiếm khi cần truyền máu do mất máu."
8,7,U xơ tử cung,Disease,"Mang thai và u xơ tử cung. U xơ thường không cản trở việc mang thai. Tuy nhiên, u xơ tử cung – đặc biệt là u xơ tử cung dưới niêm mạc – có thể gây vô sinh hoặc sảy thai. U xơ cũng có thể làm tăng nguy cơ biến chứng thai kỳ nhất định, chẳng hạn như nhau bong non, thai chậm phát triển và sinh non."
8,8,U xơ tử cung,Disease,"Dự phòng. Mặc dù các nhà nghiên cứu vẫn tiếp tục nghiên cứu nguyên nhân của các khối u xơ, nhưng vẫn có rất ít bằng chứng khoa học về cách ngăn ngừa. Việc dự phòng u xơ tử cung có thể không thực hiện được, nhưng chỉ một tỷ lệ nhỏ các khối u này cần phải điều trị. Tuy nhiên, bằng cách thực hiện lối sống lành mạnh, chẳng hạn như duy trì cân nặng bình thường và ăn trái cây và rau quả, bạn có thể giảm nguy cơ u xơ. Ngoài ra, một số nghiên cứu cho thấy rằng việc sử dụng các biện pháp tránh thai nội tiết tố có thể làm giảm nguy cơ mắc u xơ tử cung."
100,1,U xơ tử cung,Disease,"U xơ tử cung là khối tăng trưởng lành tính từ cơ tử cung, còn gọi là u cơ trơn. Kích thước, hình dạng, vị trí đa dạng: trong thành tử cung, ngoài bề mặt, hoặc gắn bên ngoài như thân cây."
100,2,U xơ tử cung,Disease,"U xơ tử cung có thể gặp ở mọi lứa tuổi nhưng phổ biến nhất ở phụ nữ 30–40 tuổi, đặc biệt phụ nữ Mỹ gốc Phi với tỉ lệ mắc cao hơn và phát triển nhanh."
100,3,U xơ tử cung,Disease,"Triệu chứng của u xơ tử cung: hành kinh dài/nghiều, đau bụng kinh, chảy máu bất thường, thiếu máu, đau lưng dưới, đau khi quan hệ, tiểu khó, táo bón, bụng to, sẩy thai, vô sinh."
100,4,U xơ tử cung,Disease,"U xơ tử cung đôi khi không có triệu chứng, chỉ phát hiện tình cờ trong khám phụ khoa định kỳ hoặc kiểm tra sức khỏe khác."
100,5,U xơ tử cung,Disease,"Biến chứng: u xơ dạng thân cây có thể xoắn gây đau, buồn nôn, sốt; u xơ phát triển nhanh hoặc thoái hóa gây đau; hiếm khi hóa ung thư; khối u lớn gây chướng bụng, khó khám."
100,6,U xơ tử cung,Disease,"U xơ tử cung có thể gây vô sinh, nhưng không phải nguyên nhân phổ biến. Khi được điều trị, nhiều phụ nữ có thể có thai trở lại."
100,7,U xơ tử cung,Disease,"Chẩn đoán: khám phụ khoa, siêu âm, nội soi buồng tử cung, chụp X-quang tử cung vòi trứng, siêu âm bơm nước, nội soi ổ bụng. MRI và CT ít dùng, chủ yếu theo dõi tiến triển."
100,8,U xơ tử cung,Disease,"Không phải tất cả u xơ cần điều trị. Chỉ cần khi: gây đau, mất máu nhiều, chảy máu bất thường, nghi ngờ khối u khác, phát triển nhanh, vô sinh, đau vùng chậu."
100,9,U xơ tử cung,Disease,Điều trị bằng thuốc: thuốc tránh thai/hormone kiểm soát chảy máu; đồng vận GnRH giúp thu nhỏ u xơ (chỉ dùng ngắn hạn); dụng cụ tử cung chứa progestin giảm chảy máu và đau.
100,10,U xơ tử cung,Disease,"Phẫu thuật bóc u xơ tử cung: giữ lại tử cung, vẫn có thể sinh con. U xơ mới có thể mọc lại sau mổ."
100,11,U xơ tử cung,Disease,"Phẫu thuật cắt bỏ tử cung: chỉ định khi các phương pháp khác thất bại hoặc u quá lớn. Sau phẫu thuật, mất khả năng sinh con."
100,12,U xơ tử cung,Disease,Các phương pháp khác: nội soi buồng tử cung cắt bỏ u xơ nhỏ; cắt bỏ nội mạc tử cung (u <3 cm); thuyên tắc động mạch tử cung (UAE); siêu âm hội tụ dưới MRI phá hủy u xơ.
100,13,U xơ tử cung,Disease,"Các phương pháp mới như siêu âm hội tụ dưới MRI có thể cải thiện triệu chứng trong vòng 1 năm, nhưng hiệu quả lâu dài còn cần nghiên cứu thêm."
2,1,Lạc nội mạc tử cung,disease,"Lạc nội mạc tử cung là tình trạng niêm mạc tử cung (nội mạc tử cung) phát triển ở những vị trí bất thường. Như lớp cơ của tử cung, buồng trứng, ống dẫn trứng và trong một số trường hợp hiện diện ở ngoài khung chậu. Các triệu chứng bao gồm đau bụng kinh, đau khi quan hệ tình dục, chảy máu âm đạo nhiều trong và giữa các kỳ kinh, vô sinh ở nữ, buồn nôn, tiêu chảy hoặc táo bón và mệt mỏi trong thời kỳ kinh nguyệt. Sau khi đã được chẩn đoán xác định bệnh, bệnh nhân sẽ được điều trị bằng nhiều phương pháp. Bao gồm thuốc giảm đau và liệu pháp hormon như thuốc tránh thai, miếng dán hoặc đặt vòng tránh thai, thuốc tránh thai chỉ chứa progestin và danazol – một loại steroid tổng hợp. Trong trường hợp điều trị nội khoa thất bại, có thể chỉ định phẫu thuật bảo tồn để loại bỏ mô lạc nội mạc tử cung. Bệnh nhân có tình trạng vô sinh có thể được sử dụng các phương pháp hỗ trợ sinh sản. Trong các trường hợp nghiêm trọng, cắt bỏ tử cung có thể thực hiện như một phương án cuối cùng trong thời kỳ sinh đẻ vì sau khi cắt bỏ tử cung, bệnh nhân sẽ không có khả năng mang thai."
107,1,Lạc nội mạc tử cung,disease,Lạc nội mạc tử cung là gì? Lạc nội mạc tử cung là bệnh lý trong đó nội mạc tử cung (là lớp màng lót bên trong tử cung) lạc chỗ đến một vị trí khác bên ngoài tử cung.
107,2,Lạc nội mạc tử cung,disease,Lạc nội mạc tử cung có phổ biến không? Lạc nội mạc tử cung xảy ra với tỉ lệ 1/10 đối với phụ nữ ở độ tuổi sinh đẻ. Bệnh này thường được tìm thấy ở phụ nữ trong độ tuổi 30 đến ngoài 40.
107,3,Lạc nội mạc tử cung,disease,"Lạc nội mạc tử cung thường xảy ra ở vị trí nào? Mô bệnh lạc chỗ (còn gọi là mô cấy – “implant”) thường được tìm thấy ở các vị trí sau: Màng bụng; Buồng trứng; Ống dẫn trứng; Mặt ngoài của tử cung, bàng quang, niệu quản, ruột và trực tràng; Khoảng trống phía sau tử cung (còn gọi túi cùng sau: cul-de - sac)."
107,5,Lạc nội mạc tử cung,disease,"Mối liên quan giữa vô sinh và lạc nội mạc tử cung. Khoảng 40% phụ nữ vô sinh bị lạc nội mạc tử cung. Hiện tượng viêm có thể gây hại cho tinh trùng hoặc trứng, hoặc cản trở việc di chuyển của chúng trong ống dẫn trứng và trong tử cung. Trong trường hợp bệnh nặng, các mô sẹo dính có thể làm tắc ống dẫn trứng."
107,6,Lạc nội mạc tử cung,disease,"Các triệu trứng của lạc nội mạc tử cung. Triệu chứng thông thường nhất của lạc nội mạc tử cung là đau bụng dưới kinh niên, đặc biệt là trước và trong khi hành kinh. Bệnh nhân cũng có thể bị đau khi quan hệ tình dục. Nếu mô bệnh lạc chỗ ở ruột, bệnh nhân có thể bị đau khi đại tiện. Nếu mô bệnh lạc chỗ ở bàng quang, bệnh nhân có thể bị đau khi đi tiểu. Máu kinh ra nhiều cũng là một triệu chứng của lạc nội mạc tử cung. Nhưng cũng có nhiều phụ nữ bị bệnh mà không có triệu chứng gì cả."
107,7,Lạc nội mạc tử cung,disease,Phương pháp chẩn đoán. Bác sĩ phụ khoa có thể phát hiện lạc nội mạc tử cung thông qua khám phụ khoa tổng quát. Tuy nhiên chỉ có bằng phương pháp nội soi ổ bụng bác sĩ mới có thể chắc chắn là bạn bị bệnh này. Đôi khi bác sĩ sẽ lấy một phần mô bệnh khi nội soi ổ bụng để làm xét nghiệm. Quá trình này được gọi là sinh thiết (biopsy) bệnh phẩm.
107,8,Lạc nội mạc tử cung,disease,"Phương pháp điều trị. Phương pháp điều trị lạc nội mạc tử cung phụ thuộc vào mức độ nghiêm trọng, các triệu chứng của bệnh, và tùy thuộc vào việc bạn có muốn có con hay không. Bệnh có thể được điều trị bằng thuốc, hoặc phẫu thuật, hoặc cả hai. Nếu đau là vấn đề chính, phương pháp điều trị bằng thuốc sẽ được sử dụng đầu tiên."
107,9,Lạc nội mạc tử cung,disease,"Các thuốc dùng để điều trị lạc nội mạc tử cung. Các thuốc dùng để điều trị lạc nội mạc tử cung bao gồm thuốc giảm đau. Ví dụ như thuốc kháng viêm nonsteriod (nonsteriodal anti - inflammatory drugs, viết tắt là NSAIDs); các thuốc nội tiết như thuốc viên tránh thai kết hợp, thuốc tránh thai chỉ chứa progestin (progestin - only medications), và chất đồng vận (chất có tác dụng tương tự) của hormone giải phóng gonadotropin (gonadotropin - releasing hormone agonists). Thuốc nội tiết giúp làm giảm quá trình phát triển của mô bệnh và tránh hình thành mô sẹo mới. Tuy nhiên các thuốc này không thể làm tiêu mô bệnh vốn đã hình thành sẵn."
107,10,Lạc nội mạc tử cung,disease,"Phẫu thuật có thể điều trị lạc nội mạc tử cung bằng cách nào? Phẫu thuật có thể giúp giảm đau và tăng khả năng sinh sản. Trong quá trình phẫu thuật, mô bệnh sẽ được cắt bỏ đi."
107,11,Lạc nội mạc tử cung,disease,"Phẫu thuật có điều trị khỏi lạc nội mạc tử cung không? Đa phần phụ nữ không thấy đau nữa sau khi được phẫu thuật. Tuy nhiên, khoảng 40 - 80% phụ nữ bị đau trở lại trong vòng 2 năm sau phẫu thuật. Mức độ đau càng nhiều thì khả năng tái phát càng cao. Việc sử dụng thuốc tránh thai hoặc các thuốc khác sau khi phẫu thuật có thể kéo dài khoảng thời gian không bị đau."
107,12,Lạc nội mạc tử cung,disease,"Phải làm gì nếu bạn vẫn thấy đau nhiều sau khi điều trị. Nếu đau nhiều và cơn đau không thuyên giảm sau điều trị, phẫu thuật cắt bỏ tử cung có thể là biện pháp cuối cùng. Khả năng tái phát cũng thấp hơn nếu buồng trứng cũng bị cắt bỏ. Nếu bạn muốn giữ lại buồng trứng, khả năng tái phát sẽ thấp hơn nếu những mô bệnh lạc chỗ cũng bị cắt bỏ khi thực hiện phẫu thuật cắt bỏ tử cung. Có khả năng rất thấp là cơn đau không hết ngay cả khi đã cắt bỏ tử cung và buồng trứng. Nguyên nhân có thể do mô bệnh hình thành ở nơi không thể nhìn thấy được hoặc không thể bị cắt bỏ khi phẫu thuật."
