entity_name,entity_type,article_ids,application,symptom,treatment,cause,subtopic,definition,subdisease,detail,prevention,advice,complication
Siêu âm,topic,"['40', '41', '46', '39']",theo dõi thai kỳ; dùng để theo dõi thai; dùng để chẩn đoán bệnh lý khác; phát hiện dị tật bẩm sinh; hướng dẫn chọc ối; sinh thiết gai nhau; phát hiện dị tật; tính tuổi thai; xác định vị trí – nhịp tim thai; ước lượng cân nặng; kiểm tra dịch ối; xác định nhau thai; đếm số lượng thai; xác định giới tính; trả lời câu hỏi cụ thể; kiểm tra vị trí thai; kiểm tra tim thai khi có chảy máu âm đạo; đánh giá bánh nhau; theo dõi phát triển thai; dùng kỹ thuật Doppler; dùng kỹ thuật 3D; nên siêu âm sàng lọc ít nhất 1 lần (tuần 18–22); khảo sát u vùng chậu; xác định nguyên nhân đau bụng; chẩn đoán chảy máu tử cung bất thường; xác định vị trí IUD; chẩn đoán vô sinh; theo dõi sau điều trị; siêu âm âm đạo → đưa đầu dò nhỏ bọc bao cao su vào âm đạo; chẩn đoán thai ngoài tử cung; xác định tuổi thai; kiểm tra u xơ; đánh giá vị trí thai; kiểm tra nang,đau bụng; chảy máu,,,Siêu âm thường; Siêu âm sàng lọc; Siêu âm nâng cao,siêu âm là năng lượng dạng sóng âm,,một kết quả siêu âm bình thường là kết quả cho thấy lượng máu lưu thông bình thường trong động mạch rốn; nhiều phụ nữ sẽ được chỉ định siêu âm ngã âm đạo vào quý i thai kỳ; sản phụ nằm tư thế sản khoa; không đau nhưng hơi khó chịu; quá trình 30–60 phút; khi có nghi ngờ; tùy chỉ định mà chọn loại; chưa có bằng chứng siêu âm gây hại thai nhi; sóng siêu âm được sử dụng; thực hiện bằng đầu dò; thường được thực hiện trong tam cá nguyệt; bánh nhau; tam cá nguyệt; tử cung,,nếu có bất thường → cần làm thêm xét nghiệm; thường một lần trong quý i. có thể lặp lại nếu bác sĩ nghi ngờ vấn đề sức khỏe thai nhi; tác dụng phụ: chưa có bằng chứng gây hại thai nhi; nên thực hiện bởi bác sĩ sản phụ khoa; nên siêu âm sàng lọc ≥1 lần (tuần 18–22).,nguy cơ sinh non; dị tật bẩm sinh; thai ngoài tử cung; nang; u xơ; rối loạn di truyền
Bấm ối,topic,['73'],hầu hết phụ nữ sẽ chuyển dạ vài giờ sau khi bấm ối,hầu hết phụ nữ sẽ chuyển dạ vài giờ sau khi bấm ối,,,,,,tạo lỗ nhỏ trên túi ối để thoát dịch,,,
Song thai,topic,['78'],,trẻ song sinh thường nhỏ hơn; trẻ có thể cùng hoặc khác giới; mỗi trẻ có nhau thai và túi ối riêng,,yếu tố gia đình; dùng thuốc hỗ trợ sinh sản; thụ tinh trong ống nghiệm; hội chứng truyền máu song thai (tmst),Song thai khác trứng; Song thai cùng trứng; Song thai bất tương xứng,một trứng đã thụ tinh phân đôi thành hai phôi,,mức độ giống nhau chỉ như anh chị em ruột,,sinh mổ: nguy cơ cao hơn trong song thai,sinh non; tiền sản giật; lâm bồn sớm; đái tháo đường thai kỳ; vấn đề tăng trưởng; sinh non (hơn 50% ca song thai); biến chứng trong thai kỳ; biến chứng sau sinh
Ngân hàng máu dây rốn cá nhân,subtopic,['77'],dự trữ máu dây rốn để sử dụng điều trị cho con hoặc người thân,,,,,,,ngân hàng cá nhân dự trữ máu dây rốn để sử dụng điều trị cho con hoặc người thân; ngân hàng này tính phí bảo quản dự trữ hàng năm và phí lấy máu dây rốn,,,
Sinh cực non,subtopic,['239'],,,corticosteroids; tocolytics hay progesterone,,,những trẻ sinh trước 32 tuần được gọi là sinh cực non; những trẻ sinh trước 32 tuần được gọi là sinh cực non; những trẻ sinh trong khoảng 32 và 37 tuần của thai kỳ được coi là sinh non; những trẻ sinh trước 32 tuần được gọi là “sinh cực non”,,phần lớn thai kỳ kéo dài khoảng 40 tuần; một số thuốc có thể được sử dụng cho những phụ nữ có nguy cơ sinh non để giúp cho sự trưởng thành phổi hoặc kéo dài thai kỳ; loại thuốc này sẽ giúp đẩy nhanh sự phát triển phổi và các cơ quan khác của trẻ; trẻ sinh non có nhu cầu dinh dưỡng đặc biệt; trẻ phát triển với tốc độ nhanh hơn so với những trẻ đủ tháng và hệ thống tiêu hóa của trẻ sinh non là chưa trưởng thành; các bác sĩ nhi khoa theo dõi trọng lượng của trẻ sinh non bằng gram; trẻ sơ sinh đủ tháng thường nặng hơn 2.500 gram; trẻ sinh non có cân nặng dao động từ khoảng 500 đến 2.500 gram; sữa mẹ là một nguồn dinh dưỡng tuyệt vời; nhưng trẻ sinh non thì quá non nớt để nuôi trực tiếp từ vú mẹ hoặc bình sữa cho đến khi trẻ được 32 đến 34 tuần tuổi; sữa mẹ có ưu điểm hơn sữa bột vì có chứa nhiều protein giúp chống lại nhiễm trùng và thúc đẩy tăng trưởng; những dưỡng chất đặc biệt có thể được thêm vào sữa mẹ (hoặc sữa bột nếu không có sữa mẹ); vì trẻ sinh non có nhu cầu vitamin và khoáng chất cao hơn trẻ đủ tháng tuổi; hầu như tất cả trẻ sinh non được bổ sung canxi và phốt pho bằng cách thêm trực tiếp vào sữa mẹ hoặc bằng các loại sữa bột đặc biệt dành cho trẻ sinh non,,đội ngũ bác sỹ và y tá sẽ nói chuyện với bạn và gia đình về những sự lựa chọn; có thể đứa bé sẽ không thể sống được nếu không có máy hô hấp nhân tạo; đội ngũ bác sỹ sẽ giúp bạn quyết định điều gì tốt nhất cho trẻ; trẻ sinh non có những nhu cầu đặc biệt. bởi vậy chăm sóc trẻ sinh non cũng khác đối với trẻ sinh đủ tháng.,nhiễm trùng; hội chứng suy hô hấp (rds); chảy máu trong não; những vấn đề về hệ tiêu hóa; những vấn đề về kiểm soát nhiệt độ cơ thể; khó khăn trong giao tiếp và phát âm; những vấn đề về thị lực; những vấn đề về thính lực; liệt não; những vấn đề về thần kinh khác; phát triển chậm
Trắc đồ sinh vật lý cải tiến,subtopic,['46'],đánh giá lượng nước ối cho biết độ hoạt động tốt của nhau thai,không phản ứng; nước ối ít,,thai nhi không được nhận đủ oxy; dịch ối ít; có vấn đề về máu lưu thông trong nhau thai,,,,kết quả đánh giá lượng nước ối cho biết độ hoạt động tốt của nhau thai; ít phức tạp hơn nhưng vẫn hữu ích,,cần làm trắc đồ sinh vật lý cải tiến đầy đủ hoặc test co thắt đả kích để khẳng định,thai thiếu oxy; nhau thai suy giảm
Estriol,topic,['47'],,,,nhau thai; gan thai,,,,,,,liên quan nguy cơ down; liên quan nguy cơ edwards
Liệu pháp hormone,topic,['91'],,,phương pháp điều trị kết hợp estrogen và progestin để giảm triệu chứng do giảm hormone,,,,,,,,
HPV,subdisease,['121'],,thường không có triệu chứng,,tiếp xúc da với da; nguyên nhân chính của HPV là do virus human papillomavirus gây ra.,,cin (loạn sản cổ tử cung) là tình trạng niêm mạc cổ tử cung bị loạn sản.,,HPV phổ biến: ít nhất 3/4 người từng quan hệ tình dục sẽ nhiễm HPV sinh dục trong đời.; pap test là phương pháp tầm soát sớm để phát hiện loạn sản cổ tử cung (cin).,quan hệ tình dục an toàn; vaccine HPV (2 loại); hạn chế số bạn tình,,
Hội chứng truyền máu song thai,disease,['78'],,một phôi nhận quá ít máu; phôi kia nhận quá nhiều máu,trích bớt máu; can thiệp ngoại khoa nhau thai; sinh sớm,,,,,,,,cả hai phôi có thể tử vong nếu không điều trị
Địa y planus,disease,['101'],,ngứa; đau; nóng rát; tiết dịch bất thường; bề mặt trắng; vệt trắng; sưng hồng,kem thuốc; thuốc mỡ; viên đặt; thuốc theo toa; thuốc tiêm,,,,,,,,
Viêm da tiếp xúc,disease,['101'],,ngứa; rát; đau nhức; nóng; trầy da,tránh tác nhân gây kích ứng; chườm lạnh; bôi mỡ bảo vệ; trường hợp nặng cần thuốc,kích ứng da với xà phòng; kích ứng da với vải; kích ứng da với nước hoa,,,,,,,
Tăng sinh nội mạc tử cung phức tạp,subdisease,['96'],,,,,,,,nhiều tuyến nội mạc chen chúc nhau.,,,
Người lành mang gen bệnh,topic,['10'],,không có triệu chứng trên lâm sàng; có triệu chứng nhẹ,,,,người lành mang gen bệnh là người mang một gen bình thường và 1 gen bất thường,,,,,
Cấy nước tiểu,topic,['44'],,,,,,tiêu chuẩn xác định nhiễm trùng đường tiết niệu,,,,,
Cử động thai,topic,['32'],,rung; lắc; cuộn; giảm cử động,,hoạt động của mẹ; vị trí bánh nhau (mặt trước); tư thế thai,,,,bài viết cung cấp thông tin về cử động thai; thai phụ cảm nhận cử động đầu tiên ở tuần 18-20 (lần đầu) hoặc sớm hơn (tuần 16 ở người mang thai nhiều lần); thai <24 tuần; thai 24-28 tuần; thai >28 tuần,,cần đi khám ngay; cảm nhận cử động thai là dấu hiệu sức khỏe; giảm cử động có thể cảnh báo nguy cơ; không có bằng chứng đủ để khuyến nghị biểu đồ đếm cử động thai; quan trọng là theo dõi sự thay đổi so với bình thường; không dựa vào thiết bị nghe tim thai tại nhà; tiếp tục theo dõi cử động,
Xét nghiệm chẩn đoán có thai,topic,['37'],Phát hiện hormone hcg (human chorionic gonadotropin) do nhau thai sản xuất sau khi phôi bám vào nội mạc tử cung,mệt mỏi; buồn nôn; căng ngực; mất kinh,,làm sai hướng dẫn,,,,hormone này tăng nhanh chóng trong những ngày đầu thai kỳ và gây ra nhiều triệu chứng mang thai; trễ kinh thường là triệu chứng đầu tiên; dễ sử dụng; có thể làm tại nhà; giá rẻ; cho kết quả nhanh; các que thử có độ nhạy khác nhau,,dễ sử dụng; phải làm đúng hướng dẫn để có kết quả chính xác; có thể làm tại nhà; giá rẻ; cho kết quả nhanh; các que thử có độ nhạy khác nhau; nếu đọc kết quả quá lâu so với hướng dẫn thì test không hợp lệ; nên đợi tới khi trễ kinh để kiểm tra,có thể ra kết quả sai
Rối loạn di truyền đa yếu tố,subtopic,['10'],,,,sự kết hợp của các yếu tố đột biến; một số yếu tố là di truyền; một số yếu tố không di truyền,,,,,,,
Lộ tuyến cổ tử cung,disease,['85'],,ngứa; tiết nhiều huyết trắng; huyết trắng có mùi; huyết trắng đổi màu,chỉ cần khi bệnh nhân thấy bất tiện; đốt điện làm giảm huyết trắng một thời gian; đốt điện không phòng ngừa và không điều trị ung thư cổ tử cung,,,lộ tuyến cổ tử cung là tình trạng mô tuyến trong cổ tử cung di chuyển ra ngoài do estrogen,,,,cần kiêng quan hệ 2 tuần sau; nên tầm soát ung thư cổ tử cung định kỳ; nếu có bất thường sẽ được xử trí đúng,viêm âm đạo
Bao cao su,subtopic,"['12', '17']",Hoạt động như một hàng rào vật lý ngăn tinh trùng đi vào tử cung và tới gặp trứng; Thích hợp cho quan hệ tình dục ngoài kế hoạch,,,dương vật chạm vào vùng xung quanh âm đạo trước khi đeo bao cao su; bao cao su bị rách; bao cao su bung ra; bao cao su bị hỏng do móng tay sắc nhọn; bao cao su bị hỏng do đồ trang sức,Loại bao cao su; Bao cao su nam; Bao cao su nữ,,,hiệu quả tránh thai của bao cao su nam lên đến 98% nếu sử dụng đúng cách; chất bôi trơn nguồn gốc từ nước an toàn khi sử dụng với mọi loại bao cao su,,bạn có thể đến: phòng khám sức khỏe tình dục. phòng khám tránh thai. phòng khám cho người trẻ tuổi.; đặc biệt là khi quan hệ tình dục qua đường hậu môn để làm giảm nguy cơ rách bao cao su; sử dụng bất kì loại chất bôi trơn nào cùng với bao cao su polyurethane; bởi vì chất bôi trơn gốc dầu có thể làm hỏng bao cao su và làm nó có khả năng rách nhiều hơn; không cần chuẩn bị trước và thích hợp cho việc quan hệ tình dục ngoài kế hoạch; hầu như không có tác dụng phụ từ việc sử dụng bao cao su; bao cao su rất bền nhưng có thể rách hoặc hỏng nếu không sử dụng đúng cách; cân nhắc làm xét nghiệm các bệnh lây truyền qua đường tình dục (stis); luôn luôn mua bao cao su có nhãn hiệu bsi và dấu ce của châu âu. có nghĩa chúng đã được thử nghiệm theo tiêu chuẩn an toàn cần thiết; các bác sĩ và y tá làm việc theo những nguyên tắc nghiêm ngặt khi tiếp xúc với người dưới 16 tuổi; dị ứng với latex hoặc polyurethane; bao cao su có giá rẻ hơn các phương pháp tránh thai khác và có thể mua được ở nhiều cửa hàng; bao cao su không ảnh hưởng tới nội tiết tố tự nhiên của người phụ nữ; bao cao su có thể sử dụng được ngay sau khi sinh con và không ảnh hưởng đến nguồn sữa nếu bạn đang cho con bú; bao cao su từ mủ cao su và polyurethane cung cấp sự bảo vệ tốt nhất phòng bệnh stis; bao cao su nữ có thể được đưa vào âm đạo tối đa 8 giờ trước khi quan hệ; đeo bao cao su có thể là một phần thú vị trong tình dục và không khiến bạn cảm thấy gián đoạn; không sử dụng bao cao su quá 1 lần. sử dụng cái mới mỗi lần bạn quan hệ; không được dùng bao cao su quá hạn sử dụng; luôn sử dụng bao cao su có nhãn hiệu bsi và dấu ce trên bao bì. điều này có nghĩa chúng đã được thử nghiệm theo tiêu chuẩn an toàn cao; đảm bảo rằng dương vật của bạn không chạm vào bộ phận sinh dục của bạn tình trước khi bạn mang bao cao su; không sử dụng bao cao su quá 1 lần và không quá hạn sử dụng; luôn mua bao cao su có nhãn hiệu BSI và dấu CE; bao cao su nữ có thể đưa vào âm đạo tối đa 8 giờ trước khi quan hệ; đeo bao cao su có thể là một phần thú vị trong tình dục và không làm gián đoạn; đảm bảo rằng dương vật không chạm bộ phận sinh dục của bạn tình trước khi mang bao cao su; một số cặp vợ chồng dùng bao cao su trong màn dạo đầu để tránh gián đoạn quan hệ,
Vô kinh thứ phát,subdisease,['1'],,,cách điều trị vấn đề này phụ thuộc theo từng nguyên nhân cụ thể.,lao nội mạc tử cung; bệnh buồng trứng đa nang; u buồng trứng; căng thẳng; suy dinh dưỡng; tiểu đường,,,,,,,
Ba tháng giữa,topic,['34'],,giảm bớt triệu chứng buồn nôn; giảm bớt triệu chứng nôn; vết rạn da thường xuất hiện trên bụng; vết rạn da thường xuất hiện trên ngực; nhạy cảm ánh nắng; xuất hiện đường nâu giữa bụng (linea nigra); nám da trên mặt; đỏ ngứa lòng bàn tay; phù ở tay; phù ở chân; phù ở mặt; đau hông; răng lung lay; nghẹt mũi; chảy máu cam; nhiễm trùng tiểu; các cơn co Braxton Hicks; ngứa; đau bụng; da khô; đau lưng; đau chân; chuột rút; ợ nóng,,thai lớn đè lên mạch máu; nguy cơ thuyên tắc tĩnh mạch sâu (DVT); dây chằng giãn; tử cung lớn; thay đổi nội tiết,,,,hầu như những người thấy khó chịu trong ba tháng đầu của thai kỳ thường bắt đầu cảm thấy tốt hơn khi bước qua ba tháng giữa; ít thay đổi xúc cảm hơn; cảm thấy khỏe hơn; bạn sẽ bắt đầu cảm nhận sự động đậy của bé trong bụng vào khoảng giữa 3 tháng giữa mang thai (tức khoảng tháng thứ 5 - 6); các tuyến sữa dãn rộng thêm và tích tụ mỡ làm vú to hơn; vết rạn sẽ mờ dần sau sinh; các thay đổi này có thể mờ dần sau sinh,,đây là một thời điểm tốt để thực hiện những việc chuẩn bị cần thiết để sẵn sàng chào đón em bé của bạn; bạn có thể bắt đầu mặc đồ dành cho bà bầu; kiểm soát tăng cân và giữ ẩm da có thể giảm ngứa; nên chăm sóc nha khoa,
Xơ nang tuyến vú,subdisease,['95'],,,chườm nóng hoặc lạnh lên tuyến vú; sử dụng áo nịt ngực đúng cỡ,,,,,,,,
