entity_name,entity_type,article_ids,application,symptom,treatment,cause,subtopic,definition,subdisease,detail,prevention,advice,complication
Dị tật ống thần kinh,disease,['167'],,,,phát triển não hoặc cột sống bất thường,,,,,bổ sung axit folic,,
Đau vú không theo chu kỳ,subdisease,['9'],,đau không do chu kỳ kinh nguyệt; thường xảy ra tại một vùng cố định ở một bên vú,,chấn thương; do thuốc; kích thước vú lớn,,,,,,,
Chụp X quang,topic,['50'],nếu chụp X quang cần thiết cho chẩn đoán thì vẫn nên thực hiện.; siêu âm là lựa chọn an toàn và hiệu quả; mri cũng an toàn trong quý đầu thai kỳ,,,,,,,,,,không gây dị tật bẩm sinh; không làm tăng tỷ lệ dị tật
Viêm gan B,subdisease,"['27', '76', '44']",,biểu hiện cấp tính; biểu hiện mãn tính; mệt mỏi; chán ăn; buồn nôn; vàng da; đau dạ dày; đau cơ khớp; ăn không ngon; đau bụng,chưa có cách chữa khỏi nhưng có thể kiểm soát triệu chứng,dùng chung kim tiêm; virus HBV; qua máu; tinh dịch; dịch âm đạo; quan hệ tình dục không an toàn; từ mẹ sang con trong khi sinh; vi-rút (còn được gọi là viêm gan siêu vi); tiếp xúc trực tiếp với máu hoặc các dịch tiết cơ thể của người bị nhiễm bệnh; em bé sơ sinh có thể bị nhiễm trong khi sinh nếu người mẹ bị bệnh viêm gan B; nhiễm vi-rút,,phụ nữ mang thai có nguy cơ truyền virus sang con. nhiều người không biết mình nhiễm vì không có triệu chứng.; virus viêm gan B gây tổn thương gan; bệnh nhiễm trùng nghiêm trọng ảnh hưởng đến gan; viêm gan B mãn tính xảy ra khi người nhiễm không loại bỏ được vi-rút. người mắc sẽ mang mầm bệnh suốt đời.,Viêm gan B cấp tính; Viêm gan B mãn tính; Xơ gan,nhiễm viêm gan B có thể rất nghiêm trọng ở trẻ sơ sinh; nhiễm viêm gan B không ảnh hưởng đến việc sinh thường hay sinh mổ.; phần lớn tự khỏi và tạo miễn dịch; phần lớn không có triệu chứng,người mới tiếp xúc có thể tiêm globulin miễn dịch (hbig) và vaccine; xét nghiệm viêm gan B cho tất cả thai phụ; đã có vắc-xin phòng ngừa; được làm xét nghiệm viêm gan B,người mẹ nhiễm HBV vẫn có thể sinh thường qua ngả âm đạo. cho con bú vẫn an toàn.; trẻ dương tính → cần được theo dõi và chăm sóc gan suốt đời; viêm gan B không lây truyền qua tiếp xúc ngoài da thông thường; viêm gan B không lây truyền sang con khi người mẹ cho con bú; mẹ bị viêm gan B vẫn có thể cho con bú,lây cho con; truyền virus sang con; truyền virus cho con; vi-rút viêm gan lây truyền sang thai nhi; trẻ sơ sinh có nguy cơ cao trở thành người mang mầm bệnh suốt đời; 90% nguy cơ truyền cho con; trẻ sơ sinh dễ thành người mang mầm bệnh suốt đời; tử vong; xơ gan; ung thư gan; tử vong sớm; xét nghiệm lại sau 6 tháng để kiểm tra kháng thể
Nhiễm trùng đường niệu,disease,['99'],,buồn nôn; nôn; sốt; đau bụng dưới; đau lưng; viêm bàng quang; tiểu buốt; tiểu rắt; tiểu nhiều lần; đau hai bên hông; nước tiểu đục; nước tiểu hôi; nước tiểu lẫn máu; ớn lạnh; đau lưng dữ dội; triệu chứng thường giảm sau 1–2 ngày,dùng kháng sinh theo loại vi khuẩn; kháng sinh; xét nghiệm lại nước tiểu; thay đổi phương pháp tránh thai; dùng kháng sinh liều thấp sau mỗi lần quan hệ; nhập viện và truyền kháng sinh qua đường tĩnh mạch; kháng sinh; xét nghiệm lại nước tiểu; thay đổi phương pháp tránh thai; dùng kháng sinh liều thấp sau mỗi lần quan hệ,quan hệ tình dục; vi khuẩn từ đường ruột ở gần hậu môn; vi khuẩn từ âm đạo; niệu đạo ngắn; vi khuẩn dễ dàng đi đến bàng quang; sử dụng chất diệt tinh trùng; sử dụng màng chắn; bàng quang không thải hết nước tiểu do tắc nghẽn (sỏi); hẹp niệu đạo; bất thường cơ hoặc thần kinh vùng chậu,,nhiễm trùng đường niệu tái phát: được định nghĩa khi mắc >2 lần/năm; được định nghĩa khi mắc >2 lần/năm,Nhiễm trùng đường niệu tái phát,vi khuẩn đi lên niệu quản và thận sẽ gây viêm thận; triệu chứng thường giảm sau 1–2 ngày; trường hợp nặng (viêm thận) cần nhập viện và truyền kháng sinh qua đường tĩnh mạch; vi khuẩn dễ dàng đi đến bàng quang hơn,đang nghiên cứu: estrogen dạng kem hoặc viên nén cho phụ nữ mãn kinh; vệ sinh từ trước ra sau; rửa sạch vùng sinh dục và hậu môn; tránh xịt khử mùi/vòi sen; uống nhiều nước; đi tiểu thường xuyên và sau quan hệ; mặc đồ lót cotton; có thể uống nước ép việt quất không đường hoặc dùng viên chiết xuất việt quất,,viêm thận
Xét nghiệm sàng lọc,topic,"['47', '74']",,,,,,,,xét nghiệm sàng lọc giúp xác định nguy cơ thai nhi bị dị tật bẩm sinh; nhưng không phải tất cả dị tật đều sàng lọc được trước sinh,,,nguy cơ down; nguy cơ edwards
Progestin,topic,"['20', '91']",,,thường kết hợp với estrogen trong liệu pháp hormone,,,,,,,,
Viêm túi mật,disease,['260'],,buồn nôn; nôn; đau dữ dội ở bên phải bụng (hạ sườn phải) và/hoặc lưng; khó tiêu; sốt,,tắc nghẽn đường ra của túi mật; sự hình thành của sỏi trong đường mật (sỏi mật hoặc sỏi đường mật),,viêm túi mật có thể gây ra nhiều triệu chứng khác nhau,Viêm túi mật cấp tính; Viêm túi mật mãn tính,chức năng chính của túi mật là lưu trữ và cô đặc mật và tống mật qua ống mật trong quá trình tiêu hóa chất béo.; các đợt viêm túi mật cấp tính nhẹ lặp đi lặp lại có thể dẫn đến viêm túi mật mãn tính; có thể tồn tại kéo dài trong một thời gian. có thể được đặc trưng bởi sự dày lên và co lại của thành túi mật và dẫn đến mất khả năng lưu trữ mật.,,,viêm túi mật mãn tính
Ung thư nội mạc tử cung,subdisease,['113'],,chảy máu bất thường; ra dịch âm đạo lạ; chảy máu sau mãn kinh,sinh thiết nội mạc tử cung; siêu âm đánh giá độ dày nội mạc; soi buồng tử cung; nong và nạo (d&c); xạ trị có thể dùng bổ sung; ngoài ra có thể dùng hóa trị hoặc điều trị nội tiết (progestin),,,,,các triệu chứng có thể dai dẳng hoặc tự thoáng qua; pap test thường không phát hiện được ung thư nội mạc tử cung,,,85–90% phụ nữ không còn dấu hiệu bệnh sau 5 năm. tỷ lệ sống giảm dần theo giai đoạn bệnh.
Tiền tiểu đường,disease,['258'],,,,các tế bào trong cơ thể bạn sẽ không phản ứng bình thường với insulin; tuyến tụy cố gắng tạo ra nhiều insulin hơn để đưa đường vào trong tế bào; tuyến tụy của bạn không thể theo kịp và lượng đường trong máu của bạn tăng lên,,tiền tiểu đường là một tình trạng sức khỏe nghiêm trọng khi lượng đường trong máu cao hơn bình thường nhưng chưa đủ cao để được chẩn đoán là bệnh tiểu đường loại 2,,bạn có thể bị tiền tiểu đường trong nhiều năm nhưng không có triệu chứng rõ ràng; bệnh thường không bị phát hiện cho đến khi các vấn đề sức khỏe nghiêm trọng như bệnh tiểu đường loại 2 xuất hiện; bác sĩ sẽ yêu cầu bạn thực hiện một hoặc nhiều xét nghiệm máu sau đây để xác nhận chẩn đoán; kiểm tra a1c; kiểm tra đường huyết lúc đói; kiểm tra dung nạp glucose; kiểm tra lượng đường trong máu ngẫu nhiên,giảm cân nếu bạn thừa cân; hoạt động thể chất thường xuyên; giảm ít nhất 7% trọng lượng cơ thể của bạn (khoảng 6kg đối với một người nặng 90kg); vận động nhiều hơn cường độ trung bình hoặc cao; dành ít nhất 30 phút hoạt động thể chất 5 ngày/tuần; ăn thực phẩm lành mạnh hầu hết thời gian; ăn khẩu phần nhỏ hơn để giảm lượng calo bạn ăn mỗi ngày và giúp bạn giảm cân; chọn thực phẩm ít chất béo để giảm lượng calo nhập vào; uống nước lọc thay vì đồ uống có đường,trao đổi với bác sĩ về việc kiểm tra lượng đường trong máu nếu bạn có bất kỳ yếu tố nguy cơ nào dẫn đến tiền tiểu đường,tạo tiền đề cho bệnh tiểu đường và bệnh tiểu đường loại 2 trong tương lai
Viêm gan B mãn tính,subdisease,['27'],,,,,,viêm gan B mãn tính xảy ra khi người nhiễm không loại bỏ được vi-rút. người mắc sẽ mang mầm bệnh suốt đời.,,phần lớn không có triệu chứng,,,tử vong; xơ gan; ung thư gan; tử vong sớm; xét nghiệm lại sau 6 tháng để kiểm tra kháng thể
Viêm tuyến vú,subdisease,['95'],,,hút hết sữa khỏi bầu vú; sử dụng kháng sinh; chườm khăn ấm lên vú trong vòng 15 - 20 phút vài lần trong ngày,nhiễm trùng do nguyên nhân khác không liên quan đến việc có thai và cho con bú,,viêm tuyến vú là tình trạng mô tuyến vú bị nhiễm trùng,,,,phụ nữ sử dụng kháng sinh vẫn có thể cho con bú hoặc sử dụng máy hút sữa để tránh vú căng tức do ứ sữa,ống dẫn sữa bị tắc và không lưu thông như bình thường
Nguyên nhân gây rối loạn di truyền,subtopic,['10'],,,,bất thường về nhiễm sắc thể; bất thường về gen,,,,,,,
Trisomy 21,disease,['10'],,các đặc điểm bất thường của khuôn mặt và cơ thể; dị tật tim; thiểu năng trí tuệ,,,,,,,,,
Sử dụng thuốc,topic,['58'],,,,,,,,,,tránh sử dụng thuốc trong khi mang thai rất quan trọng vì có thể gây hại cho sự phát triển thai nhi,sinh non; có nguy cơ ảnh hưởng lâu dài đến thai nhi; tăng nguy cơ dị tật bẩm sinh; trẻ nhẹ cân; thai chết lưu; gây bất thường hành vi; ảnh hưởng trí nhớ và sự tập trung; thay đổi cấu trúc não bộ của trẻ kéo dài đến tuổi thiếu niên; trẻ sinh ra từ mẹ dùng cocaine có nguy cơ chậm phát triển nhận thức; trẻ sinh ra từ mẹ dùng cocaine có nguy cơ giảm chú ý; trẻ sinh ra từ mẹ dùng cocaine có nguy cơ khó khăn học tập
Chuyển dạ sinh non,subtopic,['79'],,đau vùng chậu; tiết dịch âm đạo; đau vùng bụng dưới; chảy máu âm đạo; cơn co thắt ở bụng >= 1 cơn/10 phút; thay đổi màu sắc dịch tiết âm đạo; cảm giác như thai nhi bị đẩy xuống; tình trạng gia tăng áp lực vùng chậu; đau bụng cảm giác như khi hành kinh; đau bụng có thể kèm tiêu chảy; co bóp có chu kỳ của tử cung; xóa (cổ tử cung ngắn lại); mở (cổ tử cung mở ra); đau lưng âm ỉ; gia tăng lượng dịch tiết; thường xuyên đau vùng thắt lưng; vỡ ối (nước ối chảy ra thành dòng hoặc chảy từng giọt); thay đổi loại dịch; tăng lượng dịch; áp lực khung chậu; dạ dày co thắt; cơn co tử cung thường xuyên,kháng sinh; có các phương pháp điều trị giúp ngừng chuyển dạ và kéo dài thai kỳ; làm ngừng cơn gò tử cung; ngăn ngừa các vấn đề sức khỏe cho sản phụ và thai nhi; corticosteroids trước sinh (acs); thuốc giảm co tử cung; corticosteroids; magnesium sulfate; thuốc giảm gò tử cung; được chăm sóc bởi một nhóm các bác sĩ chuyên khoa; cần được chăm sóc đặc biệt ở đơn vị chăm sóc tích cực (nicu),,,chuyển dạ sớm trước 37 tuần của thai kỳ,,việc điều trị này không đảm bảo chắc chắn sẽ ngừng được quá trình chuyển dạ sinh non; xảy ra trước 37 tuần của thai kỳ; rất khó để bác sĩ có thể tiên lượng chuyển dạ sinh non tiến triển đến sinh non hay không,kiểm soát cân nặng trong thai kỳ; ăn thức ăn đảm bảo sức khỏe và vận động nhẹ nhàng mỗi ngày; sử dụng các biện pháp tránh thai giữa 2 lần sinh để không mang thai lại quá sớm; thời gian tốt nhất giữa 2 lần sinh ít nhất 18 tháng,bác sĩ có thể khuyên sản phụ các phương pháp điều trị khác: khâu eo cổ tử cung; bác sĩ có thể khuyên sản phụ các phương pháp điều trị khác: nghỉ ngơi tại giường; bác sĩ có thể khuyên sản phụ các phương pháp điều trị khác: progesterone; gọi ngay bác sĩ để tư vấn; đến ngay phòng khám hoặc bệnh viện; nếu sản phụ lo lắng về công việc thì hãy trao đổi với sếp; nếu sản phụ cần hỗ trợ nhiều hơn thì hãy trao đổi với bác sĩ để được giúp đỡ; sản phụ cần trao đổi với bác sĩ để chọn lựa phương pháp điều trị phù hợp; trao đổi thêm với bác sĩ để biết thêm thông tin; gọi cho bác sĩ sản khoa ngay lập tức nếu có bất kỳ dấu hiệu hoặc triệu chứng sau; nếu chuyển dạ không ngừng lại sẽ dẫn đến sinh non; việc chăm sóc thai nhi phụ thuộc vào phương pháp sinh,trẻ sinh quá sớm (sinh non) gặp nhiều vấn đề về sức khỏe lúc mới sinh; trẻ sinh quá sớm (sinh non) gặp nhiều vấn đề về sức khỏe trong quá trình sống; trẻ sinh quá sớm (sinh non) cần phải nằm bệnh viện lâu hơn những trẻ sinh đủ tháng
Ngôi mông,topic,['72'],,,phần lớn trẻ ngôi mông được sinh ra bằng cách mổ lấy thai theo kế hoạch; mổ lấy thai (c-section); mổ lấy thai; xoay em bé trong tử cung người mẹ bằng một thủ thuật gọi là ngoại xoay thai,trẻ sinh non; người phụ nữ đã từng mang thai nhiều lần; có nhiều hơn 1 bào thai trong tử cung (sinh đôi hoặc hơn); tử cung có quá nhiều dịch ối; tử cung có quá ít dịch ối; tử cung có hình dạng không bình thường; tử cung có u xơ; nhau thai che phủ một phần hoặc toàn bộ lối ra của tử cung; em bé xoay phần mông (hoặc chân) xuống dưới; em bé nằm ngược trong giai đoạn sớm của thai kỳ; em bé sinh non; bất thường về lượng nước ối xung quanh em bé có thể là nguyên nhân gây sinh ngôi mông,,,,trẻ ngôi đầu thường được sinh thường ngả âm đạo an toàn hơn và dễ dàng hơn những trẻ ngôi mông,,phải khám thai định kỳ; bác sĩ sẽ cho bạn biết khi em bé của bạn là ngôi mông và giúp hoạch định những việc cần làm; hướng dẫn cho thai phụ những bài tập ở nhà để có thể giúp em bé xoay đầu xuống dưới,nhiễm trùng; chảy máu; vấn đề với thuốc giảm đau; nguy cơ cao hơn cho thai nhi; nguy cơ sa dây rốn; chèn ép dây rốn; cắt đứt máu nuôi thai nhi; gặp nhiều biến chứng hơn; em bé ngôi mông có thể rất nhỏ; em bé ngôi mông có thể bị khuyết tật; em bé ngôi mông được sinh ngả âm đạo có nhiều khả năng bị tổn thương trong hoặc sau khi sinh; em bé sinh ngược được sinh ngả âm đạo có nhiều khả năng mắc dị tật bẩm sinh ở hông; em bé sinh ngược được sinh ngả âm đạo có nhiều khả năng mắc dị tật bẩm sinh ở xương đùi; các biến chứng ở dây rốn dễ xảy ra ở trẻ ngôi mông sinh ngả âm đạo; dây rốn bị chèn ép khi sinh; tổn thương thần kinh và não do thiếu oxy; thời gian nằm viện dài hơn cho cả mẹ và bé
Đau bụng kinh nguyên phát,subdisease,['1'],,đau co thắt ở vùng bụng dưới; cơn đau có thể lan ra phía sau; cơn đau có thể lan ra mặt giữa của đùi,dùng thuốc chống co thắt đơn giản; axit mefenamic 250 - 500 mg mỗi 8 tiếng; ibuprofen 400 mg mỗi 8 tiếng,,,,,không có bệnh vùng chậu nào khác đi kèm; cơn đau sẽ tự giảm khi người phụ nữ mang thai hoặc sau khi sinh con; thường xuất hiện trong vòng hai năm sau khi có kinh nguyệt,,cải thiện sức khỏe thể chất và ổn định tâm lý; trấn an người bệnh; có thể loại trừ các bệnh vùng chậu bằng siêu âm,
Viêm túi mật mãn tính,subdisease,['260'],,,,,,,,có thể tồn tại kéo dài trong một thời gian. có thể được đặc trưng bởi sự dày lên và co lại của thành túi mật và dẫn đến mất khả năng lưu trữ mật.,,,
Vàng da ở trẻ sinh non,disease,['236'],,mắt có màu vàng; da có màu vàng,,gan chưa phát triển đầy đủ; hoạt động gan chưa tốt,,,,,,,
Sàng lọc trước sinh,topic,['10'],các xét nghiệm sàng lọc thường là một phần của quá trình quản lý thai nghén và được thực hiện vào các thời điểm khác nhau trong quý một và quý hai của thai kỳ; sàng lọc trước sinh bao gồm các xét nghiệm đo nồng độ của một số chất trong máu mẹ kết hợp với kiểm tra siêu âm; các xét nghiệm này đánh giá nguy cơ thai nhi mắc hội chứng Down và các thể tam nhiễm khác cũng như dị tật ống thần kinh; Đánh giá nguy cơ thai nhi mắc hội chứng down và các thể tam nhiễm khác cũng như dị tật ống thần kinh,,,,,,,,,,
Ba tháng đầu,topic,['35'],dùng que thử thai tại nhà; bác sĩ có thể xác nhận việc bạn đang có thai hay không,trễ kinh; chảy máu một chút; cảm thấy mệt mỏi; một số thức ăn hoặc mùi hương có thể làm tăng buồn nôn; buồn nôn; tính khí thất thường; nôn; hay quên; khó tập trung; choáng váng; chóng mặt; táo bón; ngực căng; ngực phồng; ngực nặng hơn; xuất hiện hạt nhỏ quanh núm vú; có khí hư trắng; ra ít huyết âm đạo; ợ nóng; đau bụng nhẹ,,hormone thai kỳ gây ra; căng thẳng; mệt mỏi; hormone; cảm xúc đi cùng việc mang thai; cơ thể sản xuất thêm máu cho thai nhi; đói; nội tiết tố làm tiêu hóa chậm lại; thức ăn lưu lại lâu hơn trong dạ dày; tiêu hóa chậm; viên đa sinh tố chứa sắt,,,,bạn sẽ cảm thấy khỏe hơn khi bước qua 3 tháng giữa; triệu chứng thường xuất hiện vài ngày sau khi trễ kinh; triệu chứng thường biến mất vào 3 tháng cuối thai kỳ; vòng eo bắt đầu mở rộng do thai và tử cung phát triển; tùy vóc dáng mà sự thay đổi có thể rõ ở tam cá nguyệt thứ hai; ngực tiếp tục thay đổi để chuẩn bị cho việc cho con bú,,bác sĩ có thể tư vấn về việc chăm sóc khi mang thai; nên ngủ lâu hơn vào ban đêm và tranh thủ thêm giấc ngủ ngắn trong ngày; ăn nhiều chất xơ; dùng thuốc làm mềm phân theo hướng dẫn bác sĩ,chóng mặt kèm chảy máu âm đạo hoặc đau bụng
Làm mềm cổ tử cung,topic,['73'],,,prostaglandin được dùng để làm mềm và kích thích co tử cung; có thể dùng thiết bị đặc biệt để giãn cổ tử cung,,,,,,,,
X quang,topic,['50'],nếu chụp X quang cần thiết cho chẩn đoán thì vẫn nên thực hiện.; siêu âm là lựa chọn an toàn và hiệu quả; mri cũng an toàn trong quý đầu thai kỳ,,,,,x quang là một loại tia xạ không nhìn thấy được,,nhưng nguy cơ này rất thấp,,,không gây dị tật bẩm sinh; không làm tăng tỷ lệ dị tật
Siêu âm sàng lọc,subtopic,['41'],,,,,,,,,,nên siêu âm sàng lọc ≥1 lần (tuần 18–22).,
