entity_name,entity_type,article_ids,application,symptom,treatment,cause,subtopic,definition,subdisease,detail,prevention,advice,complication
Magnesium,topic,[],vai trò của magnesium trong thai kỳ: nhu cầu magnesium tăng khi mang thai; giữ cơ tử cung không co trước tuần 35; giảm nguy cơ loãng xương; giảm chuột rút; giảm căng thẳng và mất ngủ; hỗ trợ sinh đẻ nhẹ nhàng; giảm buồn nôn; điều trị đau nửa đầu; giảm nguy cơ bại não khi bổ sung Magnesium sulfat cho thai phụ nguy cơ sinh non; bổ sung magnesium giúp phát triển bào thai; bổ sung magnesium cải thiện tuần hoàn bào thai; bổ sung magnesium giúp trẻ sơ sinh có chu kỳ giấc ngủ tốt hơn; dạng viên uống để nhuận tràng,mệt mỏi; buồn nôn; nôn; đau đầu; đỏ da; nhồi máu cơ tim; dịch trong phổi; buồn ngủ; thở chậm; yếu cơ; giảm nồng độ canxi; các vấn đề về xương; các vấn đề hô hấp; khô môi; nhìn đôi; nói lắp; đổ mồ hôi nhiều,,,,,,,,cần bổ sung qua thực phẩm giàu magnesium và theo chỉ định bác sĩ; lên thực đơn dựa trên các thực phẩm này để cung cấp đủ magnesium; thai phụ chỉ nên bổ sung nếu chế độ ăn không cung cấp đủ; không tự ý dùng thuốc; chỉ dùng theo chỉ định bác sĩ; không khuyến cáo 3 tháng đầu thai kỳ; kiểm tra tất cả các chất bổ sung magnesium để không vượt quá giới hạn khuyến cáo hàng ngày,bại não do sinh rất non; thiếu magnesium có thể dẫn tới tiền sản giật; thiếu magnesium có thể dẫn tới sinh non; thiếu magnesium có thể dẫn tới tử vong sơ sinh; thiếu magnesium có thể dẫn tới dị tật bẩm sinh; tác dụng phụ nếu dùng dài: suy hô hấp; tác dụng phụ nếu dùng dài: giảm oxy thai nhi; tác dụng phụ nếu dùng dài: kéo Canxi khỏi mô xương gây gãy xương trẻ sơ sinh
Mãn kinh,topic,"['21', '5', '2']",,đau khi quan hệ; mệt mỏi; nhiễm trùng; đau khi quan hệ tình dục; khó chịu; dễ nhiễm trùng; khô âm đạo; nhiễm trùng đường tiết niệu tái phát; tiểu không tự chủ; đi tiểu đau; nhức đầu; mất ngủ; lo lắng; đổ mồ hôi; cảm giác nóng đột ngột; đổ mồ hôi đầm đìa; dễ nổi nóng; giảm ham muốn tình dục; thay đổi chu kỳ kinh nguyệt; ra huyết bất thường; niêm mạc tử cung không dày lên; chu kỳ không có kinh; triệu chứng nghiêm trọng do sụt giảm hormone đột ngột; cảm giác nóng bừng; da ửng đỏ; thiếu ngủ; gián đoạn giấc ngủ; niêm mạc âm đạo mỏng; niêm mạc âm đạo khô; ngứa rát; niệu đạo khô; viêm niệu đạo; ngứa niệu đạo; tiểu nhiều hơn; tăng nguy cơ nhiễm trùng bàng quang; khó đạt cực khoái; huyết âm đạo trở lại; trầm cảm,liệu pháp nội tiết tố tại chỗ; liệu pháp hormone có thể giảm triệu chứng mãn kinh; giảm bốc hỏa; giảm khô âm đạo; cải thiện đường tiết niệu; bảo vệ xương; bổ sung bisphosphonate; sử dụng serms; tiêm calcitonin; xịt mũi calcitonin; bổ sung hormone cận giáp; xem xét sử dụng liệu pháp hormone khi các biện pháp trên không hiệu quả; sử dụng một số loại thuốc chống trầm cảm cũng có thể giúp giảm các cơn bốc hỏa,buồng trứng giảm chức năng hoạt động; buồng trứng không sản xuất đủ estrogen; cắt bỏ cả hai buồng trứng; mất estrogen; tỷ lệ mất xương tăng; hormone giảm,Tiền mãn kinh,mãn kinh là thời kỳ người phụ nữ chấm dứt vĩnh viễn chu kỳ kinh nguyệt cho đến khi kết thúc cuộc đời; mãn kinh là thời kỳ mà người phụ nữ không còn xuất hiện kinh nguyệt nữa; mãn kinh là một phần của quá trình sinh sản,,thời kỳ mãn kinh được xác nhận sau khi ngừng kinh nguyệt trong mười hai tháng liên tục mà không có bất kỳ bệnh lý nào khác; các cơ quan sinh sản giảm kích thước sau thời kỳ mãn kinh; phụ nữ mất khoảng 3 - 5% khối lượng xương mỗi năm sau thời kỳ mãn kinh; liệu pháp nội tiết tố tại chỗ ít tác dụng phụ hơn; liệu pháp hooc-môn toàn thân được sử dụng tuân thủ nghiêm ngặt theo các khuyến cáo; các liệu pháp phải được thực hiện trong thời gian ngắn nhất có thể với liều lượng thấp nhất; liệu pháp hooc-môn toàn thân giúp tránh các tác dụng phụ nghiêm trọng như hình thành cục máu đông (huyết khối tĩnh mạch) và ung thư vú; những năm trước thời điểm này gọi là tiền mãn kinh; vẫn có thể mang thai cho đến hết một năm sau kỳ kinh cuối; cắt tử cung không gây mãn kinh trừ khi đồng thời cắt buồng trứng; estrogen thường kết hợp với progestin ở phụ nữ còn tử cung để giảm nguy cơ ung thư nội mạc tử cung; phụ nữ thường bước vào thời kỳ mãn kinh với nhiều cảm xúc lẫn lộn; thời kỳ mãn kinh không giống bất cứ những gì bạn từng cảm thấy trước đây; giai đoạn chuyển tiếp mãn kinh có thể kéo dài vài năm,,ngừng hút thuốc; hãy nói chuyện với bác sĩ sản phụ khoa về những gì bạn đang phải xảy ra để được tư vấn và đồng hành trong hành trình chăm sóc sức khỏe; mặc quần áo nhiều lớp; mang theo quạt cầm tay; sử dụng đồ uống lạnh; tránh các loại thực phẩm và đồ uống có thể kích hoạt các cơn bốc hỏa như rượu và cafein; giảm cân nếu bạn thừa cân; thiền cũng là phương pháp hiệu quả giúp bạn giảm cơn bốc hỏa; sử dụng chất dưỡng ẩm và bôi trơn âm đạo để làm dịu các cơn đau; cần nói chuyện với bác sĩ sản phụ khoa trước khi sử dụng các chất bổ sung nguồn gốc tự nhiên để điều trị các triệu chứng.; bạn vẫn nên khám phụ khoa hằng năm; khám sức khỏe hàng năm bao gồm tất cả các khía cạnh về sức khỏe sinh sản và tình dục của bạn; ngay cả phụ nữ đã cắt bỏ tử cung vẫn có thể cần sàng lọc; hầu hết phụ nữ có nguy cơ ung thư vú thấp có thể dừng chụp nhũ ảnh ở tuổi 75; hãy chia sẻ với mọi người để có thể nhận được sự giúp đỡ khi cần thiết,loãng xương; bệnh lý tim mạch; tăng nguy cơ gãy xương
Vòng âm đạo,topic,['19'],,buồn nôn; nhiễm khuẩn; đau ngực; đau đầu; nhức đầu; tăng cân; kích ứng âm đạo; khí hư; chảy máu giữa chu kỳ; ngứa âm đạo,,,,,,,,không cần cơ sở y tế đặt nhưng cần chỉ định bác sĩ; trong 7 ngày đầu nên dùng thêm bao cao su,
Xét nghiệm phát hiện người mang gen bệnh,topic,['10'],xét nghiệm người mang bệnh là một loại xét nghiệm sàng lọc nhằm xác định một người có mang gen gây rối loạn di truyền hay không,,,,,,,,,,
Gbs,topic,[],,,,,,,,,,,gây nhiễm trùng nặng
Ngừa thai khẩn cấp,topic,['20'],,mệt mỏi; buồn nôn; đau bụng; nôn; chóng mặt; rối loạn kinh nguyệt; đau ngực; nhức đầu; chuột rút; rong huyết; kinh sớm; kinh trễ,thuốc (viên uống sáng hôm sau); dụng cụ tử cung chứa đồng (iud); thuốc chỉ chứa progestin (levonorgestrel),,Ngừa thai khẩn cấp progestin; Ngừa thai khẩn cấp iud; Ngừa thai khẩn cấp ulipristal,ngừa thai khẩn cấp (hay còn gọi là ngừa thai sau giao hợp) là việc sử dụng một số phương pháp để ngăn ngừa mang thai ngoài ý muốn sau quan hệ tình dục không bảo vệ hoặc bảo vệ không đủ.,,who: hiệu quả 52–94%; hiệu quả 99%; có thể dùng lâu dài; hiệu quả trong vòng 120h,,ulipristal và yuzpe cần bác sĩ kê đơn; levonorgestrel có bán tại nhà thuốc; nên dùng biện pháp khác (bao cao su) cho đến kỳ kinh sau; không bắt buộc gặp bác sĩ sau khi dùng; nên gặp bác sĩ nếu trễ kinh để kiểm tra thai; có thể dùng nhiều lần trong cùng chu kỳ; không có tác dụng nếu đã mang thai; không gây harm cho thai nhi; cần đặt tại cơ sở y tế,
Bệnh động mạch vành,disease,['259'],,khó thở; đau thắt ngực; nhồi máu cơ tim,dùng thuốc để giúp kiểm soát bệnh; thuốc chẹn bêta; thuốc chẹn kênh canxi; thuốc chẹn kênh nitrat; uống aspirin liều thấp mỗi ngày; nong mạch; sử dụng một quả bóng nhỏ để đẩy và làm thông đoạn động mạch vành bị tắc; quả bóng được đưa vào trong động mạch ở cánh tay hoặc ở chân; một ống kim loại nhỏ gọi là stent có thể được đưa vào đoạn động mạch bị tắc để giữ chỗ ấy thông máu; phẫu thuật bắc cầu (bypass); phẫu thuật bắc cầu thường được thực hiện khi không thể nong mạch vành hoặc khi bác sĩ thấy đó là sự lựa chọn tốt hơn cho bạn; aspirin; nitrat; phẫu thuật bắc cầu,sự dày lên của lớp lót trong (nội mạc) động mạch vành; xơ vữa động mạch; mảng bám tạo thành từ mỡ tích tụ bên trong thành động mạch,,bệnh động mạch vành (còn gọi là bệnh tim thiếu máu cục bộ hay thiếu máu cơ tim) được gây ra bởi sự dày lên của lớp lót trong (nội mạc) động mạch vành,,bệnh động mạch vành có thể mất nhiều năm để tiến triển.; bạn có thể không nhận thấy bất kỳ triệu chứng nào của bệnh cho đến khi động mạch vành đủ hẹp.; hầu hết bệnh nhân không gặp tác dụng phụ do các loại thuốc này; hầu hết các bệnh nhân có kết quả phẫu thuật tốt; thường thì sau khi nong mạch vành vài ngày là bạn đã có thể trở lại hoạt động như hoặc thậm chí tốt hơn trước; phẫu thuật bắc cầu thường mất nhiều thời gian hơn để hồi phục (vài tuần hoặc vài tháng),,giảm nguy cơ tái phát nhồi máu cơ tim; bác sĩ sẽ hướng dẫn về những loại thuốc mà bạn nên dùng; bác sĩ sẽ giúp bạn quyết định phương pháp điều trị tốt nhất cho bạn; bạn có thể sống lâu hơn và cảm thấy khỏe hơn bằng cách hợp tác với bác sĩ điều trị; không hút thuốc lá; kiểm soát huyết áp; tập thể dục; việc thường xuyên tập thể dục có thể giúp tim khỏe hơn và giảm nguy cơ bị bệnh tim; tập thể dục cũng hữu ích nếu bạn bị cao huyết áp; hỏi bác sĩ về việc uống aspirin liều thấp mỗi ngày; hỏi bác sĩ về việc uống bổ sung vitamin; một số nghiên cứu đã cho thấy vitamin e có thể làm giảm nguy cơ bị nhồi máu cơ tim; các vitamin khác cũng có thể giúp chống lại bệnh động mạch vành; theo chế độ ăn lành mạnh; bổ sung thực phẩm ít cholesterol và chất béo bão hòa vào khẩu phần ăn vì cơ thể sẽ chuyển chất béo bão hòa thành cholesterol; hãy nói chuyện với bác sĩ về những loại thực phẩm bạn nên tránh; bác sĩ sẽ theo dõi tiến triển bệnh của bạn; bạn vẫn phải tiếp tục giữ lối sống lành mạnh để hỗ trợ việc điều trị,nhồi máu cơ tim
Siêu âm,topic,"['40', '41', '46', '39']",theo dõi thai kỳ; dùng để theo dõi thai; dùng để chẩn đoán bệnh lý khác; phát hiện dị tật bẩm sinh; hướng dẫn chọc ối; sinh thiết gai nhau; phát hiện dị tật; tính tuổi thai; xác định vị trí – nhịp tim thai; ước lượng cân nặng; kiểm tra dịch ối; xác định nhau thai; đếm số lượng thai; xác định giới tính; trả lời câu hỏi cụ thể; kiểm tra vị trí thai; kiểm tra tim thai khi có chảy máu âm đạo; đánh giá bánh nhau; theo dõi phát triển thai; dùng kỹ thuật Doppler; dùng kỹ thuật 3D; nên siêu âm sàng lọc ít nhất 1 lần (tuần 18–22); khảo sát u vùng chậu; xác định nguyên nhân đau bụng; chẩn đoán chảy máu tử cung bất thường; xác định vị trí IUD; chẩn đoán vô sinh; theo dõi sau điều trị; siêu âm âm đạo → đưa đầu dò nhỏ bọc bao cao su vào âm đạo; chẩn đoán thai ngoài tử cung; xác định tuổi thai; kiểm tra u xơ; đánh giá vị trí thai; kiểm tra nang,đau bụng; chảy máu,,,Siêu âm thường; Siêu âm sàng lọc; Siêu âm nâng cao,siêu âm là năng lượng dạng sóng âm,,một kết quả siêu âm bình thường là kết quả cho thấy lượng máu lưu thông bình thường trong động mạch rốn; nhiều phụ nữ sẽ được chỉ định siêu âm ngã âm đạo vào quý i thai kỳ; sản phụ nằm tư thế sản khoa; không đau nhưng hơi khó chịu; quá trình 30–60 phút; khi có nghi ngờ; tùy chỉ định mà chọn loại; chưa có bằng chứng siêu âm gây hại thai nhi; sóng siêu âm được sử dụng; thực hiện bằng đầu dò; thường được thực hiện trong tam cá nguyệt; bánh nhau; tam cá nguyệt; tử cung,,nếu có bất thường → cần làm thêm xét nghiệm; thường một lần trong quý i. có thể lặp lại nếu bác sĩ nghi ngờ vấn đề sức khỏe thai nhi; tác dụng phụ: chưa có bằng chứng gây hại thai nhi; nên thực hiện bởi bác sĩ sản phụ khoa; nên siêu âm sàng lọc ≥1 lần (tuần 18–22).,nguy cơ sinh non; dị tật bẩm sinh; thai ngoài tử cung; nang; u xơ; rối loạn di truyền
Ăn kiêng,topic,[],,buồn nôn; nôn; khó tiêu; sốt; táo bón; chóng mặt; đau đầu; nhức đầu; mất nước; kiệt sức; nhiễm toan; tăng cân đột ngột; giảm cân đột ngột; đi tiểu ít; nước tiểu sẫm; hôn mê; giảm cử động thai; dấu hiệu chuyển dạ,,,,,,,,ngủ đủ giấc; uống nhiều nước; luật hồi giáo cho phép bỏ nhịn ăn và bù bằng từ thiện; uống nhiều nước lọc và nước ép trái cây; tránh ăn vội thực phẩm giàu năng lượng khi dạ dày rỗng; ăn 2-3 loại hoa quả giàu đường tự nhiên và khoáng chất; uống sữa và nước dừa; tránh đi bộ đường dài và hoạt động mạnh; chú ý dấu hiệu cơ thể bất thường; tránh đồ ngọt và caffein; ăn nhiều loại thức ăn và đồ uống lành mạnh; trong ramadan dùng bữa suhoor và iftar; hạn chế đồ ngọt; chọn thực phẩm lành mạnh thay thực phẩm chế biến sẵn; xin lời khuyên từ linh mục hoặc trưởng đạo Hồi; thử ăn kiêng 1-2 ngày để đánh giá khả năng duy trì; ăn kiêng gián đoạn như chế độ Daniel có thể thử nếu sức khỏe đủ,ăn kiêng trong thai kỳ có thể ảnh hưởng lâu dài đến em bé; trẻ sơ sinh nhẹ cân do thiếu dinh dưỡng; cơ quan phát triển có thể suy yếu vĩnh viễn; nguy cơ bệnh thận và đái tháo đường típ 2
Bấm ối,topic,['73'],hầu hết phụ nữ sẽ chuyển dạ vài giờ sau khi bấm ối,hầu hết phụ nữ sẽ chuyển dạ vài giờ sau khi bấm ối,,,,,,tạo lỗ nhỏ trên túi ối để thoát dịch,,,
Song thai,topic,['78'],,trẻ song sinh thường nhỏ hơn; trẻ có thể cùng hoặc khác giới; mỗi trẻ có nhau thai và túi ối riêng,,yếu tố gia đình; dùng thuốc hỗ trợ sinh sản; thụ tinh trong ống nghiệm; hội chứng truyền máu song thai (tmst),Song thai khác trứng; Song thai cùng trứng; Song thai bất tương xứng,một trứng đã thụ tinh phân đôi thành hai phôi,,mức độ giống nhau chỉ như anh chị em ruột,,sinh mổ: nguy cơ cao hơn trong song thai,sinh non; tiền sản giật; lâm bồn sớm; đái tháo đường thai kỳ; vấn đề tăng trưởng; sinh non (hơn 50% ca song thai); biến chứng trong thai kỳ; biến chứng sau sinh
Ngân hàng máu dây rốn cá nhân,subtopic,['77'],dự trữ máu dây rốn để sử dụng điều trị cho con hoặc người thân,,,,,,,ngân hàng cá nhân dự trữ máu dây rốn để sử dụng điều trị cho con hoặc người thân; ngân hàng này tính phí bảo quản dự trữ hàng năm và phí lấy máu dây rốn,,,
Xét nghiệm sàng lọc quý i,topic,[],,,,,,,,,,,nguy cơ down; nguy cơ edwards
Progesterone tiêm,subtopic,[],ngăn ngừa sinh non nếu sản phụ đã có 1 lần sinh non đơn thai tự phát (tự phát nghĩa là tự chuyển dạ mà không cần dùng thuốc hay các phương pháp khác hoặc là ối vỡ sớm gây chuyển dạ) và mang đơn thai,khó chịu ở chỗ tiêm,bắt đầu từ tuần 16 đến tuần 24 và 1 tuần 1 lần cho đến tuần 27,,,,,không phải lúc nào progesterone tiêm cũng hiệu quả trong ngừa sinh non; 17 alpha - hydroxyprogesterone caproate (còn được gọi là 17p),,trao đổi với bác sĩ về sự an toàn và tác dụng phụ của progesterone tiêm,
Sinh cực non,subtopic,['239'],,,corticosteroids; tocolytics hay progesterone,,,những trẻ sinh trước 32 tuần được gọi là sinh cực non; những trẻ sinh trước 32 tuần được gọi là sinh cực non; những trẻ sinh trong khoảng 32 và 37 tuần của thai kỳ được coi là sinh non; những trẻ sinh trước 32 tuần được gọi là “sinh cực non”,,phần lớn thai kỳ kéo dài khoảng 40 tuần; một số thuốc có thể được sử dụng cho những phụ nữ có nguy cơ sinh non để giúp cho sự trưởng thành phổi hoặc kéo dài thai kỳ; loại thuốc này sẽ giúp đẩy nhanh sự phát triển phổi và các cơ quan khác của trẻ; trẻ sinh non có nhu cầu dinh dưỡng đặc biệt; trẻ phát triển với tốc độ nhanh hơn so với những trẻ đủ tháng và hệ thống tiêu hóa của trẻ sinh non là chưa trưởng thành; các bác sĩ nhi khoa theo dõi trọng lượng của trẻ sinh non bằng gram; trẻ sơ sinh đủ tháng thường nặng hơn 2.500 gram; trẻ sinh non có cân nặng dao động từ khoảng 500 đến 2.500 gram; sữa mẹ là một nguồn dinh dưỡng tuyệt vời; nhưng trẻ sinh non thì quá non nớt để nuôi trực tiếp từ vú mẹ hoặc bình sữa cho đến khi trẻ được 32 đến 34 tuần tuổi; sữa mẹ có ưu điểm hơn sữa bột vì có chứa nhiều protein giúp chống lại nhiễm trùng và thúc đẩy tăng trưởng; những dưỡng chất đặc biệt có thể được thêm vào sữa mẹ (hoặc sữa bột nếu không có sữa mẹ); vì trẻ sinh non có nhu cầu vitamin và khoáng chất cao hơn trẻ đủ tháng tuổi; hầu như tất cả trẻ sinh non được bổ sung canxi và phốt pho bằng cách thêm trực tiếp vào sữa mẹ hoặc bằng các loại sữa bột đặc biệt dành cho trẻ sinh non,,đội ngũ bác sỹ và y tá sẽ nói chuyện với bạn và gia đình về những sự lựa chọn; có thể đứa bé sẽ không thể sống được nếu không có máy hô hấp nhân tạo; đội ngũ bác sỹ sẽ giúp bạn quyết định điều gì tốt nhất cho trẻ; trẻ sinh non có những nhu cầu đặc biệt. bởi vậy chăm sóc trẻ sinh non cũng khác đối với trẻ sinh đủ tháng.,nhiễm trùng; hội chứng suy hô hấp (rds); chảy máu trong não; những vấn đề về hệ tiêu hóa; những vấn đề về kiểm soát nhiệt độ cơ thể; khó khăn trong giao tiếp và phát âm; những vấn đề về thị lực; những vấn đề về thính lực; liệt não; những vấn đề về thần kinh khác; phát triển chậm
Trắc đồ sinh vật lý cải tiến,subtopic,['46'],đánh giá lượng nước ối cho biết độ hoạt động tốt của nhau thai,không phản ứng; nước ối ít,,thai nhi không được nhận đủ oxy; dịch ối ít; có vấn đề về máu lưu thông trong nhau thai,,,,kết quả đánh giá lượng nước ối cho biết độ hoạt động tốt của nhau thai; ít phức tạp hơn nhưng vẫn hữu ích,,cần làm trắc đồ sinh vật lý cải tiến đầy đủ hoặc test co thắt đả kích để khẳng định,thai thiếu oxy; nhau thai suy giảm
Dinh dưỡng,topic,[],lập kế hoạch chế độ dinh dưỡng lành mạnh trong thai kỳ không khó; dầu và chất béo cung cấp năng lượng và giúp tạo các cơ quan của thai nhi và nhau thai,,,,,,,canxi cần thiết để tạo xương và răng cho bé; phụ nữ ≥19 tuổi cần 1000 mg/ngày; 14-18 tuổi cần 1300 mg/ngày; phụ nữ mang thai cần 600 iu/ngày,,nên lấy hầu hết từ thực vật; hạn chế mỡ cứng như mỡ động vật và thực phẩm chế biến sẵn; phụ nữ mang thai cần bổ sung thêm sắt và acid folic; vitamin bổ sung trước khi sinh đảm bảo nhận đủ lượng cần thiết; chế độ ăn đa dạng cũng cung cấp vitamin và khoáng chất cần thiết; Ăn kèm vitamin C giúp hấp thu sắt tốt hơn.; tiêu thụ <200 mg caffeine/ngày khi mang thai được xem là an toàn; ăn ≥2 khẩu phần cá hoặc động vật vỏ (200-300 g) mỗi tuần trong thai kỳ hoặc cho con bú; hạn chế cá ngừ trắng <150 g/tuần; Thai kỳ cần gấp đôi lượng sắt so với người không mang thai. Liều khuyến cáo: 27 mg/ngày.,
Estriol,topic,['47'],,,,nhau thai; gan thai,,,,,,,liên quan nguy cơ down; liên quan nguy cơ edwards
Rối loạn di truyền liên kết nhiễm sắc thể giới tính,subtopic,[],,,,gen bị đột biến nằm trên nhiễm sắc thể giới tính,,rối loạn di truyền liên kết nst giới tính gây ra bởi các gen bị đột biến nằm trên nhiễm sắc thể giới tính,,,,,
Liệu pháp hormone,topic,['91'],,,phương pháp điều trị kết hợp estrogen và progestin để giảm triệu chứng do giảm hormone,,,,,,,,
HPV,subdisease,['121'],,thường không có triệu chứng,,tiếp xúc da với da; nguyên nhân chính của HPV là do virus human papillomavirus gây ra.,,cin (loạn sản cổ tử cung) là tình trạng niêm mạc cổ tử cung bị loạn sản.,,HPV phổ biến: ít nhất 3/4 người từng quan hệ tình dục sẽ nhiễm HPV sinh dục trong đời.; pap test là phương pháp tầm soát sớm để phát hiện loạn sản cổ tử cung (cin).,quan hệ tình dục an toàn; vaccine HPV (2 loại); hạn chế số bạn tình,,
Chọc ối nhân tạo,topic,[],,đau hơn,,,Chọc ối nhân tạo (arm),,,việc chọc ối thường là đủ để gây ra những cơn co mạnh và đều hơn; hộ sinh hoặc bác sĩ của bạn sẽ tạo một lỗ nhỏ trên màng ối trong lúc khám âm đạo,,hộ sinh sẽ đề nghị bạn sử dụng giảm đau,
